WARD_NO,date,mean
2,1/1/2001,490.0875428
3,1/1/2001,509.689948
4,1/1/2001,469.9096088
51,1/1/2001,528.5097365
53,1/1/2001,541.0133346
54,1/1/2001,533.1134705
55,1/1/2001,528.5168568
56,1/1/2001,528.8895608
81,1/1/2001,511.0462257
87,1/1/2001,484.7436248
10,1/1/2001,507.6170433
11,1/1/2001,523.66592
5,1/1/2001,528.643273
6,1/1/2001,532.0798934
7,1/1/2001,505.8352548
8,1/1/2001,497.5879853
9,1/1/2001,498.646162
130,1/1/2001,505.2412643
159,1/1/2001,488.5975883
40,1/1/2001,521.8183539
72,1/1/2001,500.4354607
16,1/1/2001,522.1512201
160,1/1/2001,483.3278005
17,1/1/2001,474.8818881
37,1/1/2001,475.3661433
38,1/1/2001,497.5511804
42,1/1/2001,496.6353678
69,1/1/2001,494.0377251
73,1/1/2001,493.6613141
12,1/1/2001,514.155856
13,1/1/2001,512.2355946
14,1/1/2001,504.0157031
15,1/1/2001,510.1635764
39,1/1/2001,504.3851038
41,1/1/2001,496.9490285
70,1/1/2001,487.381095
71,1/1/2001,491.7801204
102,1/1/2001,483.8967729
43,1/1/2001,487.2224536
44,1/1/2001,475.1220131
67,1/1/2001,459.5159934
68,1/1/2001,468.8311865
74,1/1/2001,469.4826579
75,1/1/2001,469.1153561
35,1/1/2001,506.350461
36,1/1/2001,467.5299218
45,1/1/2001,487.5327326
64,1/1/2001,478.0915749
65,1/1/2001,473.6613581
66,1/1/2001,472.4763232
76,1/1/2001,449.018116
18,1/1/2001,480.4693142
19,1/1/2001,482.5491645
20,1/1/2001,487.9015866
21,1/1/2001,489.9905313
22,1/1/2001,486.2236153
33,1/1/2001,475.4537059
34,1/1/2001,494.7737509
46,1/1/2001,486.6845027
31,1/1/2001,490.5575419
32,1/1/2001,483.6624461
47,1/1/2001,487.8433072
48,1/1/2001,485.7892777
60,1/1/2001,479.3320872
61,1/1/2001,479.7229712
78,1/1/2001,493.0534616
23,1/1/2001,497.9925224
168,1/1/2001,471.7553081
169,1/1/2001,473.1223437
179,1/1/2001,462.107965
149,1/1/2001,474.2614513
150,1/1/2001,490.6936175
82,1/1/2001,508.2352673
83,1/1/2001,497.2430109
84,1/1/2001,488.0921451
85,1/1/2001,488.2734972
174,1/1/2001,480.2823351
175,1/1/2001,481.9825223
186,1/1/2001,448.070323
187,1/1/2001,449.6836208
188,1/1/2001,477.3110094
189,1/1/2001,477.5953142
190,1/1/2001,470.6702095
191,1/1/2001,490.7133764
193,1/1/2001,479.3500635
184,1/1/2001,493.8531844
185,1/1/2001,450.7828262
192,1/1/2001,497.3983071
194,1/1/2001,494.7513887
195,1/1/2001,464.9452622
196,1/1/2001,502.0060289
1,1/1/2001,497.1868193
52,1/1/2001,527.9814635
129,1/1/2001,495.2885719
170,1/1/2001,478.0922934
171,1/1/2001,481.0184259
183,1/1/2001,463.2671933
197,1/1/2001,474.4790333
177,1/1/2001,461.5731458
172,1/1/2001,494.6848077
26,1/1/2001,538.6607319
25,1/1/2001,539.7921662
86,1/1/2001,476.0364996
198,1/1/2001,494.8364144
24,1/1/2001,516.6769007
27,1/1/2001,522.3319826
28,1/1/2001,510.5369308
29,1/1/2001,509.4846868
30,1/1/2001,497.1275262
49,1/1/2001,500.4194288
59,1/1/2001,516.719077
113,1/1/2001,521.0881342
50,1/1/2001,531.5778679
57,1/1/2001,518.9796382
58,1/1/2001,506.8292724
79,1/1/2001,541.2761938
80,1/1/2001,522.548957
88,1/1/2001,495.1939012
110,1/1/2001,514.6552848
62,1/1/2001,488.6885051
63,1/1/2001,498.438645
90,1/1/2001,532.1205841
91,1/1/2001,512.0413813
92,1/1/2001,495.0854812
93,1/1/2001,506.9569057
111,1/1/2001,504.3553362
112,1/1/2001,512.6293701
114,1/1/2001,524.1110014
115,1/1/2001,517.5564539
116,1/1/2001,503.4694452
117,1/1/2001,477.9893609
89,1/1/2001,528.6436749
109,1/1/2001,481.57691
120,1/1/2001,481.2975349
121,1/1/2001,473.5693452
77,1/1/2001,461.1748242
94,1/1/2001,481.6939556
95,1/1/2001,472.0443623
96,1/1/2001,464.4272349
100,1/1/2001,449.824872
101,1/1/2001,461.0298999
107,1/1/2001,448.5648486
108,1/1/2001,452.1856756
97,1/1/2001,452.6132546
98,1/1/2001,446.8120447
99,1/1/2001,445.4774552
103,1/1/2001,481.8776717
104,1/1/2001,456.7047762
105,1/1/2001,454.2445414
106,1/1/2001,452.8513024
125,1/1/2001,469.1191761
126,1/1/2001,470.7960012
127,1/1/2001,482.9586944
128,1/1/2001,482.3455116
131,1/1/2001,480.9678918
122,1/1/2001,474.4939538
123,1/1/2001,463.8834774
