DISPLAY_NA,WARD_NAME,WARD_NO,date,maximum_2m_air_temperature,minimum_2m_air_temperature
"Raghva Niwas, 38th Cross Road, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru",Pattabhiram Nagar,168,1980-01-01T00:00:00,305.6798096,288.14151
"100 16 A Main Road, Canara Bank Colony, Jayanagar 3rd Block East, Jayanagar, Bengaluru",Byrasandra,169,1980-01-01T00:00:00,305.6798096,288.14151
"725-44, TMC Layout, 1st Phase, JP Nagar, Bengaluru",Shakambari Nagar,179,1980-01-01T00:00:00,305.6798096,288.14151
"State Highway 35, Devasthanagalu, Gunjur Village, Bengaluru",Varthuru,149,1980-01-01T00:00:00,305.6140285,288.0513962
"Bellandur - Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bengaluru",Bellanduru,150,1980-01-01T00:00:00,305.6798096,288.14151
"300 5B Road, Shivaji Nagar, Basavanna Nagar, Whitefield, Bengaluru",Garudachar Playa,82,1980-01-01T00:00:00,305.6798096,288.14151
"Patalamma Layout, V S Reddy Colony, Kadugodi, Bengaluru",Kadugodi,83,1980-01-01T00:00:00,305.4727431,287.845047
"M4, Phase 1, Whitefield, Bengaluru",Hagadur,84,1980-01-01T00:00:00,305.5547574,287.9702005
"Shriram Spurthi, Road, Sri Nivasa Reddy Layout, AECS Layout, Brookefield, Bengaluru",Dodda Nekkundi,85,1980-01-01T00:00:00,305.6798096,288.14151
"2200 15th B Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru",HSR Layout,174,1980-01-01T00:00:00,305.6798096,288.14151
"200 4th A Main Road, Roopena Agrahara, Bommanahalli, Bengaluru",Bommanahalli,175,1980-01-01T00:00:00,305.6798096,288.14151
"Raj Kumar Statue Road, Jarganahalli, JP Nagar Phase 6, JP Nagar, Bengaluru",Jaraganahalli,186,1980-01-01T00:00:00,305.6798096,288.14151
"0 5th Cross Road, 5th Phase, T Muniyappa Layout, Sahyadri Layout, Bengaluru",Puttenahalli,187,1980-01-01T00:00:00,305.6798096,288.14151
"100 Devarachikkanahalli Road, Shanbogh Naggappa Layout, Vijaya Bank Layout, Bilekahalli, Bengaluru",Bilekhalli,188,1980-01-01T00:00:00,305.6798096,288.14151
"0 2nd Cross Road, Hongasandra, Bengaluru",Hongasandra,189,1980-01-01T00:00:00,305.6798096,288.14151
"100 11th Main Road, Hosapalaya, Muneshwara Nagar, Bengaluru",Mangammanapalya,190,1980-01-01T00:00:00,305.6798096,288.14151
"Unnamed Road, Sai Meadows, Parappana Agrahara, Bengaluru",Singasandra,191,1980-01-01T00:00:00,305.6798096,288.14151
"100 Hulimavu Lake Road, Krishna Layout, Hulimavu, Bengaluru",Arakere,193,1980-01-01T00:00:00,305.6798096,288.14151
"4th Cross Road, Jayanagar housing society layout, Subramanyapura, Bengaluru",Uttarahalli,184,1980-01-01T00:00:00,305.6798096,288.14151
"300 9th Cross Road, Prathiba Industrial Estate, Kumaraswamy Layout, Bengaluru",Yelchenahalli,185,1980-01-01T00:00:00,305.6798096,288.14151
"469/2, Begur, Bengaluru",Begur,192,1980-01-01T00:00:00,305.6798096,288.14151
"1st G Cross, Royal Lake Front Phase1 and 2, Gottigere, Bengaluru",Gottigere,194,1980-01-01T00:00:00,305.6798096,288.14151
"0 1st Main Road, Sheryas Colony, 8th Phase, JP Nagar, Bengaluru",Konankunte,195,1980-01-01T00:00:00,305.6798096,288.14151
"Anjanapura 80 Feet Road, Anjanapura Village, Anjanapura Township, Bengaluru",Anjanapura,196,1980-01-01T00:00:00,305.6798096,288.14151
"NITTE Meenakshi College Road, BSF Campus, Yelahanka, Bengaluru",Kempegowda Ward,1,1980-01-01T00:00:00,305.3522949,288.0551453
"0 Kithaganur Main Road, Thambu Chetty Palya, Battarahalli, Bengaluru",K R Puram,52,1980-01-01T00:00:00,305.3522949,288.0551453
"300 8th A Cross Road, Health Layout, Chandrashekhara Layout, Annapurneshwari Nagar, Bengaluru",Jnana Bharathi ward,129,1980-01-01T00:00:00,305.7991842,288.2088208
"400 East End Main Road, Corporation Colony, Jayanagara 9th Block, Jayanagar, Bengaluru",Jayanagar East,170,1980-01-01T00:00:00,305.6798096,288.14151
"0 F Cross Road, Krishnappa Garden, 1st Stage, BTM Layout, Bengaluru",Gurappanapalya,171,1980-01-01T00:00:00,305.6798096,288.14151
"500 1st Main Road, Bhuvaneshwari Nagar, Banashankari, Bengaluru",Chikkalsandra,183,1980-01-01T00:00:00,305.6798096,288.14151
"0 1st Main Road, Kuvempu Nagar, Konanakunte, Bengaluru",Vasanthpura,197,1980-01-01T00:00:00,305.6798096,288.14151
"100 4th Cross Road, 3rd Phase, JP Nagar, Bengaluru",J P Nagar,177,1980-01-01T00:00:00,305.6798096,288.14151
"0 1st B Cross Road, Cashier Layout, 1st Stage, BTM Layout, Bengaluru",Madivala,172,1980-01-01T00:00:00,305.6798096,288.14151
"Kalkere-Agara Main Road, Horamavu Agara, Kalkere, Bengaluru",Ramamurthy Nagar,26,1980-01-01T00:00:00,305.3522949,288.0551453
"0 Horamavu Agara Main Road, 1st Block, Mallappa Layout, Prakruthi Township, Bengaluru",Horamavu,25,1980-01-01T00:00:00,305.3522949,288.0551453
"0 3rd Cross Road, Manjunatha Layout, Marathahalli Village, Marathahalli, Bengaluru",Marathahalli,86,1980-01-01T00:00:00,305.6798096,288.14151
"BGS Road, Kodipalya, Bengaluru",Hemmigepura,198,1980-01-01T00:00:00,305.8263867,288.2241593
"Unnamed Road, Bengaluru",Chowdeswari Ward,2,1980-01-01T00:00:00,305.3522949,288.0551453
"9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru",Atturu,3,1980-01-01T00:00:00,305.3522949,288.0551453
"15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru",Yelahanka Satellite Town,4,1980-01-01T00:00:00,305.3522949,288.0551453
"SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru",Vijnanapura,51,1980-01-01T00:00:00,305.365756,288.0586949
"Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru",Basavanapura,53,1980-01-01T00:00:00,305.3539465,288.0555808
"0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru",Hudi,54,1980-01-01T00:00:00,305.4285217,288.0442577
"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru",Devasandra,55,1980-01-01T00:00:00,305.4678484,288.0856164
"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru",A Narayanapura,56,1980-01-01T00:00:00,305.6688294,288.1386146
"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru",Vijnana Nagar,81,1980-01-01T00:00:00,305.6798096,288.14151
"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru",HAL Airport,87,1980-01-01T00:00:00,305.6798096,288.14151
"Vidyaranyapura Road, Bengaluru",Dodda Bommasandra,10,1980-01-01T00:00:00,305.3522949,288.0551453
"5th Main Singapura Layout, Bengaluru",Kuvempu Nagar,11,1980-01-01T00:00:00,305.3522949,288.0551453
"0 8th Cross Road, Yelahanka, Bengaluru",Jakkuru,5,1980-01-01T00:00:00,305.3522949,288.0551453
"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru",Thanisandra,6,1980-01-01T00:00:00,305.3522949,288.0551453
"0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru",Byatarayanapura,7,1980-01-01T00:00:00,305.3522949,288.0551453
"Gulmohar Residency, 6th A Cross Road, Bhadrappa Layout, Koti Hosahalli, Bengaluru",Kodigehalli,8,1980-01-01T00:00:00,305.3522949,288.0551453
"GKVK Road, Vignana Kendra, Bengaluru",Vidyaranyapura,9,1980-01-01T00:00:00,305.3522949,288.0551453
"1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru",Ullalu,130,1980-01-01T00:00:00,306.0047483,288.3247305
"3rd Cross Road, Stage II, Kengeri Satellite Town, Bengaluru",Kengeri,159,1980-01-01T00:00:00,306.0047607,288.3247375
"0 Thigalarapalya Main Road, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Karihobanahalli",Dodda Bidarakallu,40,1980-01-01T00:00:00,305.732059,288.3958624
"Magadi Main Road, BEL Layout, 1st Stage, Bharat Nagar, Bengaluru",Herohalli,72,1980-01-01T00:00:00,305.9970221,288.3263412
"Tata Aquila Heights, HMT Estate, Jalahalli, Bengaluru",Jalahalli,16,1980-01-01T00:00:00,305.3522949,288.0551453
"300 43rd Main Road, Jawaregowda Nagar, Javarandoddi, RR Nagar, Bengaluru",Rajarajeshwari Nagar,160,1980-01-01T00:00:00,305.6798096,288.14151
"0 7th D Main Road, Bandappa Garden, Mathikere, Bengaluru",J P Park,17,1980-01-01T00:00:00,305.3522949,288.0551453
"0 4th Cross Road, H Gurumurthy ReddyColony, Yeshwanthpur, Bengaluru",Yeshwanthpura,37,1980-01-01T00:00:00,305.3522949,288.0551453
"700 Ashwath Katte Road, Yeshwanthpur Suburb II Stage, Peenya, Peenya, Bengaluru",HMT Ward,38,1980-01-01T00:00:00,305.3522949,288.0551453
"Ramanjaneya Temple Road, Jenakal Siddeswara Nagar, Nandini Layout, Bengaluru",Lakshmi Devi Nagar,42,1980-01-01T00:00:00,305.3522949,288.0551453
"0 17th Main Road, Narasimhaswamy Nagar, Laggere, Bengaluru",Laggere,69,1980-01-01T00:00:00,305.3525501,288.0552126
"Service Road, Papreddy Palya, 2nd Stage, Nagarbhavi, Bengaluru",Kottegepalya,73,1980-01-01T00:00:00,305.6665428,288.1380116
"Kammagondana Halli Road, Srikrupa Layout, Abbigere, Abbigere, Bengaluru",Shettihalli,12,1980-01-01T00:00:00,305.3539112,288.0568542
"3rd Main, Shetty Halli, Jalahalli West, Bengaluru",Mallasandra,13,1980-01-01T00:00:00,305.3522949,288.0551453
"Manjunath Nagar Main Road, Vijayalakshmi Layout, Manjunatha Nagar, Bagalakunte, Bengaluru",Bagalakunte,14,1980-01-01T00:00:00,305.5234363,288.2361024
