WARD_NO,date,Temperature_Mean
2,1/1/2001,297.0310364
3,1/1/2001,297.0310364
4,1/1/2001,297.0310364
51,1/1/2001,297.0336001
53,1/1/2001,297.0313509
54,1/1/2001,297.0206524
55,1/1/2001,297.0530445
56,1/1/2001,297.091323
81,1/1/2001,297.0934143
87,1/1/2001,297.0934143
10,1/1/2001,297.0310364
11,1/1/2001,297.0310364
5,1/1/2001,297.0310364
6,1/1/2001,297.0310364
7,1/1/2001,297.0310364
8,1/1/2001,297.0310364
9,1/1/2001,297.0310364
130,1/1/2001,297.4947051
159,1/1/2001,297.4947205
40,1/1/2001,297.4742052
72,1/1/2001,297.4935551
16,1/1/2001,297.0310364
160,1/1/2001,297.0934143
17,1/1/2001,297.0310364
37,1/1/2001,297.0310364
38,1/1/2001,297.0310364
42,1/1/2001,297.0310364
69,1/1/2001,297.031085
73,1/1/2001,297.0908875
12,1/1/2001,297.0331665
13,1/1/2001,297.0310364
14,1/1/2001,297.2565949
15,1/1/2001,297.0310364
39,1/1/2001,297.1291686
41,1/1/2001,297.0924709
70,1/1/2001,297.0374152
71,1/1/2001,297.2031776
102,1/1/2001,297.0934143
43,1/1/2001,297.0310364
44,1/1/2001,297.0310364
67,1/1/2001,297.0413943
68,1/1/2001,297.0310364
74,1/1/2001,297.0934143
75,1/1/2001,297.0627883
35,1/1/2001,297.0353989
36,1/1/2001,297.0310364
45,1/1/2001,297.0310364
64,1/1/2001,297.0468914
65,1/1/2001,297.0457384
66,1/1/2001,297.0310364
76,1/1/2001,297.0825786
18,1/1/2001,297.0310364
19,1/1/2001,297.0310364
20,1/1/2001,297.0310364
21,1/1/2001,297.0310364
22,1/1/2001,297.0310364
33,1/1/2001,297.0310364
34,1/1/2001,297.0310364
46,1/1/2001,297.0310364
31,1/1/2001,297.0310364
32,1/1/2001,297.0310364
47,1/1/2001,297.0310364
48,1/1/2001,297.0310364
60,1/1/2001,297.0310364
61,1/1/2001,297.0355278
78,1/1/2001,297.086361
23,1/1/2001,297.0310364
168,1/1/2001,297.0934143
169,1/1/2001,297.0934143
179,1/1/2001,297.0934143
149,1/1/2001,296.9936141
150,1/1/2001,297.0934143
82,1/1/2001,297.0934143
83,1/1/2001,296.7879462
