WARD_NO,date,mean
2,1/1/2001,61.91349272
3,1/1/2001,59.55216231
4,1/1/2001,64.46962009
53,1/1/2001,55.8689459
54,1/1/2001,60.45249493
55,1/1/2001,56.99819451
56,1/1/2001,59.82379944
81,1/1/2001,58.63171693
87,1/1/2001,69.30786876
10,1/1/2001,69.12422706
11,1/1/2001,69.07348488
5,1/1/2001,60.19164424
6,1/1/2001,61.07152504
7,1/1/2001,74.32683644
8,1/1/2001,65.57596519
9,1/1/2001,63.80204024
130,1/1/2001,58.97169358
159,1/1/2001,63.68056349
40,1/1/2001,57.44038893
72,1/1/2001,58.5438178
16,1/1/2001,64.21468012
160,1/1/2001,68.75103146
17,1/1/2001,51.46467132
38,1/1/2001,55.78602924
69,1/1/2001,44.5584299
73,1/1/2001,48.73582601
12,1/1/2001,60.67358908
13,1/1/2001,58.41710797
14,1/1/2001,55.04965351
15,1/1/2001,60.5
39,1/1/2001,63.18670038
41,1/1/2001,53.08034858
70,1/1/2001,45.52715924
71,1/1/2001,42.33201525
102,1/1/2001,53.66666667
35,1/1/2001,81.0428034
64,1/1/2001,60.99751367
18,1/1/2001,60.42541985
19,1/1/2001,64.62391576
20,1/1/2001,55.5
149,1/1/2001,87.49806965
150,1/1/2001,83.26960788
82,1/1/2001,52.85704386
83,1/1/2001,63.79913758
84,1/1/2001,82.39546477
85,1/1/2001,54.19379731
174,1/1/2001,71.69741424
175,1/1/2001,49.11356242
186,1/1/2001,60.96312461
187,1/1/2001,55.21506175
188,1/1/2001,59.18360415
189,1/1/2001,48.16488176
190,1/1/2001,51.85862256
191,1/1/2001,52.31597797
193,1/1/2001,51.36220914
184,1/1/2001,60.64123547
192,1/1/2001,57.95345182
194,1/1/2001,59.16611902
195,1/1/2001,54.57577325
196,1/1/2001,58.02043927
1,1/1/2001,58.46456918
52,1/1/2001,61.93836558
129,1/1/2001,59.38055078
197,1/1/2001,53.02891856
177,1/1/2001,51.80401438
26,1/1/2001,72.07555425
25,1/1/2001,71.61421774
86,1/1/2001,101.329454
198,1/1/2001,70.30235426
24,1/1/2001,78.14379882
59,1/1/2001,55.55872688
113,1/1/2001,73.0544654
50,1/1/2001,59.11052599
57,1/1/2001,73.50711064
58,1/1/2001,70.06246033
79,1/1/2001,59.96440251
80,1/1/2001,67.77747051
88,1/1/2001,49.26365418
112,1/1/2001,54.42317894
114,1/1/2001,91.29226927
115,1/1/2001,50.80207979
103,1/1/2001,51.75652718
127,1/1/2001,48.54445283
128,1/1/2001,61.38316827
131,1/1/2001,67.64382854
158,1/1/2001,62.54545455
161,1/1/2001,50.25
148,1/1/2001,48.65672886
151,1/1/2001,71.85452859
178,1/1/2001,45.6640752
173,1/1/2001,82.04965804
176,1/1/2001,62.42252722
2,4/1/2001,97.0127913
3,4/1/2001,95.32848615
4,4/1/2001,100.2284281
53,4/1/2001,84.39764577
54,4/1/2001,95.39906316
55,4/1/2001,99.53462364
56,4/1/2001,91.10282213
81,4/1/2001,89.7192713
87,4/1/2001,99.42158022
10,4/1/2001,108.323645
11,4/1/2001,107.7870185
5,4/1/2001,93.18404911
6,4/1/2001,96.30986601
7,4/1/2001,113.5224633
8,4/1/2001,110.489922
9,4/1/2001,102.848109
130,4/1/2001,94.71516912
159,4/1/2001,101.8203406
40,4/1/2001,92.89899204
72,4/1/2001,95.43829434
16,4/1/2001,111.271421
160,4/1/2001,102.783582
17,4/1/2001,86.57625421
38,4/1/2001,103.1081946
69,4/1/2001,75.31420812
73,4/1/2001,81.86667819
12,4/1/2001,100.5947485
13,4/1/2001,94.01808463
14,4/1/2001,91.8878483
15,4/1/2001,104.1666667
39,4/1/2001,101.1581362
41,4/1/2001,86.80454219
70,4/1/2001,78.76043638
71,4/1/2001,69.69284666
102,4/1/2001,88.25
35,4/1/2001,130.076791
64,4/1/2001,96.24411813
18,4/1/2001,120.1483985
19,4/1/2001,86.2498519
20,4/1/2001,83
149,4/1/2001,115.5031823
150,4/1/2001,117.0708582
82,4/1/2001,87.48673975
83,4/1/2001,99.06034974
84,4/1/2001,114.9022396
85,4/1/2001,85.19916708
174,4/1/2001,107.8404907
175,4/1/2001,82.27009344
186,4/1/2001,83.62956368
187,4/1/2001,85.83357248
188,4/1/2001,93.29988132
189,4/1/2001,83.18516375
190,4/1/2001,84.42478122
191,4/1/2001,81.85251036
193,4/1/2001,85.9453642
184,4/1/2001,94.31337027
192,4/1/2001,88.0446272
194,4/1/2001,80.72387716
195,4/1/2001,84.93329321
196,4/1/2001,81.39929863
1,4/1/2001,92.57978709
52,4/1/2001,95.22299828
129,4/1/2001,96.09534119
197,4/1/2001,84.02732172
177,4/1/2001,79.52401925
26,4/1/2001,104.0740656
25,4/1/2001,102.349371
86,4/1/2001,156.6585632
198,4/1/2001,106.0564752
24,4/1/2001,114.3334043
59,4/1/2001,96.56262174
113,4/1/2001,100.024221
50,4/1/2001,92.99891671
57,4/1/2001,110.5973393
58,4/1/2001,106.9043133
79,4/1/2001,99.75074869
80,4/1/2001,103.411389
88,4/1/2001,72.69946437
112,4/1/2001,88.34857418
114,4/1/2001,122.1386499
115,4/1/2001,84.56226761
103,4/1/2001,84.77550771
127,4/1/2001,79.43326056
128,4/1/2001,91.65382429
131,4/1/2001,98.88872656
158,4/1/2001,85.83333333
161,4/1/2001,83.28571429
148,4/1/2001,76.15305921
151,4/1/2001,107.7683195
178,4/1/2001,72.05370672
173,4/1/2001,91.40922041
176,4/1/2001,94.32850421
2,7/1/2001,146.5393333
3,7/1/2001,152.1752472
4,7/1/2001,163.1331371
53,7/1/2001,152.1052814
54,7/1/2001,156.6624862
55,7/1/2001,170.4249032
56,7/1/2001,170.7147288
81,7/1/2001,166.7157083
87,7/1/2001,156.9034379
10,7/1/2001,172.0266481
11,7/1/2001,178.908676
5,7/1/2001,174.3628922
6,7/1/2001,164.4332517
7,7/1/2001,166.7690896
8,7/1/2001,153.3588845
9,7/1/2001,157.0789155
130,7/1/2001,174.3343224
159,7/1/2001,174.587512
40,7/1/2001,188.7989198
72,7/1/2001,167.0878128
16,7/1/2001,166.3083289
160,7/1/2001,188.48631
17,7/1/2001,172.5121521
38,7/1/2001,140.6360433
69,7/1/2001,134.9049217
73,7/1/2001,182.7434662
12,7/1/2001,163.2923559
13,7/1/2001,153.4475603
14,7/1/2001,168.1553655
15,7/1/2001,151.5
39,7/1/2001,178.8245998
41,7/1/2001,203.3674519
70,7/1/2001,167.5643781
71,7/1/2001,170.7573071
102,7/1/2001,191
35,7/1/2001,175.1639509
64,7/1/2001,196.6057566
18,7/1/2001,145
19,7/1/2001,182.3097208
20,7/1/2001,202
149,7/1/2001,159.6289941
150,7/1/2001,171.394789
82,7/1/2001,139.6199822
83,7/1/2001,138.9260059
84,7/1/2001,158.4989351
85,7/1/2001,154.1477489
174,7/1/2001,170.8501123
175,7/1/2001,167.1485733
186,7/1/2001,187.9227249
187,7/1/2001,178.408685
188,7/1/2001,181.4170782
189,7/1/2001,158.7271073
190,7/1/2001,160.277792
191,7/1/2001,164.9662361
193,7/1/2001,171.3447509
184,7/1/2001,168.0199717
192,7/1/2001,168.8864462
194,7/1/2001,156.2942174
195,7/1/2001,172.1801513
196,7/1/2001,187.215833
1,7/1/2001,169.9200657
52,7/1/2001,146.1705153
129,7/1/2001,185.6164333
197,7/1/2001,160.8827175
177,7/1/2001,181.8027741
26,7/1/2001,170.9969488
25,7/1/2001,169.158194
86,7/1/2001,171.2228875
198,7/1/2001,186.1952246
24,7/1/2001,185.7474617
59,7/1/2001,168.5777991
113,7/1/2001,166.0790521
50,7/1/2001,147.6711379
57,7/1/2001,180.9287611
58,7/1/2001,172.2404863
79,7/1/2001,176.59524
80,7/1/2001,191.1751874
88,7/1/2001,158.6519268
112,7/1/2001,160.3574895
114,7/1/2001,179.7766912
115,7/1/2001,177.2148219
103,7/1/2001,191.2900014
127,7/1/2001,163.3389282
128,7/1/2001,171.8225909
131,7/1/2001,189.2688075
158,7/1/2001,169.75
161,7/1/2001,170
148,7/1/2001,170.7845072
151,7/1/2001,169.7279379
178,7/1/2001,175.9350504
173,7/1/2001,181.9234726
176,7/1/2001,185.8337904
2,10/1/2001,190.7323738
3,10/1/2001,196.3502296
4,10/1/2001,187.6070426
53,10/1/2001,186.9366515
54,10/1/2001,189.5965514
55,10/1/2001,183.0216405
56,10/1/2001,170.4866584
81,10/1/2001,179.5741648
87,10/1/2001,182.7391842
10,10/1/2001,190.0487304
11,10/1/2001,191.2457824
5,10/1/2001,187.628374
6,10/1/2001,186.342055
7,10/1/2001,193.1092306
8,10/1/2001,192.2706857
9,10/1/2001,195.3791811
130,10/1/2001,191.0068303
159,10/1/2001,185.8162278
40,10/1/2001,187.3538676
72,10/1/2001,189.9745427
16,10/1/2001,188.6046116
160,10/1/2001,185.1168304
17,10/1/2001,170.6748996
38,10/1/2001,177.9709299
69,10/1/2001,163.0718608
73,10/1/2001,173.6400649
12,10/1/2001,188.6736302
13,10/1/2001,185.984508
14,10/1/2001,184.2947496
15,10/1/2001,184.7777778
39,10/1/2001,185.2062639
41,10/1/2001,186.7385991
70,10/1/2001,167.4986514
71,10/1/2001,179.6838076
102,10/1/2001,175.3
35,10/1/2001,191.3874812
64,10/1/2001,174.2890507
18,10/1/2001,178.3842759
19,10/1/2001,191.9965094
20,10/1/2001,187.1111111
149,10/1/2001,189.46301
150,10/1/2001,197.1813498
82,10/1/2001,180.9259088
83,10/1/2001,185.4649909
84,10/1/2001,185.7430116
85,10/1/2001,182.1020133
174,10/1/2001,192.812925
175,10/1/2001,172.958989
186,10/1/2001,175.568406
187,10/1/2001,171.0481449
188,10/1/2001,177.8081305
189,10/1/2001,166.7079363
190,10/1/2001,174.8733382
191,10/1/2001,177.1151363
193,10/1/2001,181.6982414
184,10/1/2001,185.6462832
192,10/1/2001,182.840632
194,10/1/2001,185.2228617
195,10/1/2001,181.6475794
196,10/1/2001,183.51582
1,10/1/2001,189.2076589
52,10/1/2001,187.5182339
129,10/1/2001,188.9611992
197,10/1/2001,182.4676392
177,10/1/2001,168.0049538
26,10/1/2001,193.6548639
25,10/1/2001,192.70274
86,10/1/2001,199.4140585
198,10/1/2001,194.5228971
24,10/1/2001,197.6466659
59,10/1/2001,177.7361272
113,10/1/2001,171.0615471
50,10/1/2001,182.3906488
57,10/1/2001,180.8169436
58,10/1/2001,179.8802454
79,10/1/2001,173.2087266
80,10/1/2001,184.9211969
88,10/1/2001,159.3396847
112,10/1/2001,164.5647455
114,10/1/2001,197.3556721
115,10/1/2001,158.3490317
103,10/1/2001,177.1175183
127,10/1/2001,171.088847
128,10/1/2001,192.2108404
131,10/1/2001,184.5287047
158,10/1/2001,180.3333333
161,10/1/2001,187
148,10/1/2001,170.4232799
151,10/1/2001,173.0107922
178,10/1/2001,172.1658162
173,10/1/2001,175.1151735
176,10/1/2001,175.5347149
2,1/1/2002,90.68209742
3,1/1/2002,89.73436961
4,1/1/2002,89.38696379
53,1/1/2002,81.07322334
54,1/1/2002,87.4910217
55,1/1/2002,79.85156084
56,1/1/2002,84.77812609
81,1/1/2002,84.04916534
87,1/1/2002,95.27127913
10,1/1/2002,95.2678471
11,1/1/2002,91.70189243
5,1/1/2002,89.41761638
6,1/1/2002,82.63871156
7,1/1/2002,98.71220793
8,1/1/2002,85.79730494
9,1/1/2002,91.60219449
130,1/1/2002,90.00678809
159,1/1/2002,92.06547474
40,1/1/2002,86.41135385
72,1/1/2002,87.91142235
16,1/1/2002,92.17612325
160,1/1/2002,94.63138525
17,1/1/2002,78.57768382
38,1/1/2002,80.98940101
69,1/1/2002,75.97520577
73,1/1/2002,80.97938258
12,1/1/2002,87.67477528
13,1/1/2002,84.08243463
14,1/1/2002,81.71814223
15,1/1/2002,88.25
39,1/1/2002,89.00572336
41,1/1/2002,80.0227052
70,1/1/2002,76.51037016
71,1/1/2002,69.24469717
102,1/1/2002,77.27272727
35,1/1/2002,105.3553432
64,1/1/2002,88.34364427
18,1/1/2002,88.91522403
19,1/1/2002,87.12344861
20,1/1/2002,82.41666667
149,1/1/2002,112.4393811
150,1/1/2002,103.6388807
82,1/1/2002,78.11302132
83,1/1/2002,96.21465957
84,1/1/2002,109.4673078
85,1/1/2002,77.42922364
174,1/1/2002,92.16071945
175,1/1/2002,77.71522988
186,1/1/2002,84.83684054
187,1/1/2002,86.41206255
188,1/1/2002,93.70497067
189,1/1/2002,69.61177015
190,1/1/2002,79.139113
191,1/1/2002,80.71360764
193,1/1/2002,84.50567558
184,1/1/2002,89.13018429
192,1/1/2002,87.5517371
194,1/1/2002,90.18507746
195,1/1/2002,85.28379067
196,1/1/2002,84.99514626
1,1/1/2002,87.35089445
52,1/1/2002,85.27293799
129,1/1/2002,88.93077369
197,1/1/2002,87.16681285
177,1/1/2002,85.25
26,1/1/2002,93.50406069
25,1/1/2002,93.64506803
86,1/1/2002,120.7565136
198,1/1/2002,95.92973147
24,1/1/2002,103.7729513
59,1/1/2002,87.13194468
113,1/1/2002,101.8432776
50,1/1/2002,93.29725505
57,1/1/2002,97.85027843
58,1/1/2002,100.1959855
79,1/1/2002,90.61783992
80,1/1/2002,95.84042909
88,1/1/2002,68.72493792
112,1/1/2002,79.58591649
114,1/1/2002,113.4621948
115,1/1/2002,89.75800891
103,1/1/2002,83.8473824
127,1/1/2002,76.79595814
128,1/1/2002,90.06700686
131,1/1/2002,92.30853719
158,1/1/2002,87.18181818
161,1/1/2002,83.41666667
148,1/1/2002,81.01189653
151,1/1/2002,92.30993997
178,1/1/2002,77.36856842
173,1/1/2002,98.09932446
176,1/1/2002,104.9481125
2,4/1/2002,92.33519723
3,4/1/2002,86.20622536
4,4/1/2002,77.63051992
53,4/1/2002,75.19404097
54,4/1/2002,85.1179412
55,4/1/2002,79.13506001
56,4/1/2002,73.04095387
81,4/1/2002,78.24249064
87,4/1/2002,93.51854312
10,4/1/2002,85.15029373
11,4/1/2002,82.62390659
5,4/1/2002,88.84634183
6,4/1/2002,73.96201246
7,4/1/2002,89.12018034
8,4/1/2002,81.52364752
9,4/1/2002,89.07471371
130,4/1/2002,77.03375706
159,4/1/2002,79.67767314
40,4/1/2002,77.64041281
72,4/1/2002,78.50579632
16,4/1/2002,87.9872036
160,4/1/2002,77.47885533
17,4/1/2002,76.86253494
38,4/1/2002,73.04385405
69,4/1/2002,57.17250154
73,4/1/2002,74.7695782
12,4/1/2002,79.05344671
13,4/1/2002,71.24770591
14,4/1/2002,80.88373936
15,4/1/2002,68
39,4/1/2002,75.56161117
41,4/1/2002,91.06640638
70,4/1/2002,68.13462674
71,4/1/2002,60.43098419
102,4/1/2002,76.375
35,4/1/2002,112.7232511
64,4/1/2002,86.80159775
18,4/1/2002,88.60434501
19,4/1/2002,65.56262198
20,4/1/2002,56.71428571
149,4/1/2002,121.2098814
150,4/1/2002,117.498742
82,4/1/2002,75.72017897
83,4/1/2002,86.34955608
84,4/1/2002,106.9650055
85,4/1/2002,83.31190384
174,4/1/2002,105.7099902
175,4/1/2002,69.66790131
186,4/1/2002,86.59363432
187,4/1/2002,90.33722379
188,4/1/2002,95.43525518
189,4/1/2002,82.4339824
190,4/1/2002,93.10891431
191,4/1/2002,78.08949062
193,4/1/2002,77.80101164
184,4/1/2002,72.14988008
192,4/1/2002,84.36025202
194,4/1/2002,72.50346212
195,4/1/2002,66.51309853
196,4/1/2002,63.83425059
1,4/1/2002,93.28372072
52,4/1/2002,75.10961232
129,4/1/2002,76.08267389
197,4/1/2002,55.72530298
177,4/1/2002,86.83188468
26,4/1/2002,97.25902695
25,4/1/2002,90.29257198
86,4/1/2002,139.7152298
198,4/1/2002,78.73100726
24,4/1/2002,110.2289342
59,4/1/2002,85.31407387
113,4/1/2002,92.25271079
50,4/1/2002,91.58840494
57,4/1/2002,98.83135801
58,4/1/2002,94.50548587
79,4/1/2002,95.72156608
80,4/1/2002,98.14690573
