DISPLAY_NA,WARD_NAME,WARD_NO,date,EVI_mean,NDVI_mean
"Unnamed Road, Bengaluru",Chowdeswari Ward,2,1/1/2000,2310.362522,3976.583789
"9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru",Atturu,3,1/1/2000,2185.881533,3665.445875
"15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru",Yelahanka Satellite Town,4,1/1/2000,2327.046428,3961.514236
"SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru",Vijnanapura,51,1/1/2000,1822.855997,2933.833973
"Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru",Basavanapura,53,1/1/2000,1761.592954,2966.032267
"0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru",Hudi,54,1/1/2000,2086.007766,3506.516382
"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru",Devasandra,55,1/1/2000,1978.731782,3272.052735
"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru",A Narayanapura,56,1/1/2000,1832.294739,3027.723534
"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru",Vijnana Nagar,81,1/1/2000,2041.395086,3394.648836
"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru",HAL Airport,87,1/1/2000,2172.636193,3525.955096
"Vidyaranyapura Road, Bengaluru",Dodda Bommasandra,10,1/1/2000,2378.784217,3990.081444
"5th Main Singapura Layout, Bengaluru",Kuvempu Nagar,11,1/1/2000,2476.377424,4095.274337
"0 8th Cross Road, Yelahanka, Bengaluru",Jakkuru,5,1/1/2000,2165.924957,3600.858192
"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru",Thanisandra,6,1/1/2000,2372.690261,3870.953443
"0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru",Byatarayanapura,7,1/1/2000,2517.764835,4188.559193
"Gulmohar Residency, 6th A Cross Road, Bhadrappa Layout, Koti Hosahalli, Bengaluru",Kodigehalli,8,1/1/2000,2469.05523,4070.763354
"GKVK Road, Vignana Kendra, Bengaluru",Vidyaranyapura,9,1/1/2000,2234.440016,3851.771143
"1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru",Ullalu,130,1/1/2000,2177.770946,3605.493091
