DISPLAY_NA,WARD_NAME,WARD_NO,date,mean
"Unnamed Road, Bengaluru",Chowdeswari Ward,2,1/1/2000,15365.63275
"9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru",Atturu,3,1/1/2000,15383.19475
"15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru",Yelahanka Satellite Town,4,1/1/2000,15371.93509
"SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru",Vijnanapura,51,1/1/2000,15490.20518
"Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru",Basavanapura,53,1/1/2000,15495.99541
"0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru",Hudi,54,1/1/2000,15469.81454
"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru",Devasandra,55,1/1/2000,15485.8479
"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru",A Narayanapura,56,1/1/2000,15464.67807
"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru",Vijnana Nagar,81,1/1/2000,15454.74353
"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru",HAL Airport,87,1/1/2000,15433.23313
"Vidyaranyapura Road, Bengaluru",Dodda Bommasandra,10,1/1/2000,15379.406
"5th Main Singapura Layout, Bengaluru",Kuvempu Nagar,11,1/1/2000,15380.52094
"0 8th Cross Road, Yelahanka, Bengaluru",Jakkuru,5,1/1/2000,15402.8567
"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru",Thanisandra,6,1/1/2000,15385.78147
"0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru",Byatarayanapura,7,1/1/2000,15375.0015
"Gulmohar Residency, 6th A Cross Road, Bhadrappa Layout, Koti Hosahalli, Bengaluru",Kodigehalli,8,1/1/2000,15382.42125
"GKVK Road, Vignana Kendra, Bengaluru",Vidyaranyapura,9,1/1/2000,15366.62305
"1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru",Ullalu,130,1/1/2000,15494.91396
"3rd Cross Road, Stage II, Kengeri Satellite Town, Bengaluru",Kengeri,159,1/1/2000,15454.20991
"0 Thigalarapalya Main Road, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Karihobanahalli",Dodda Bidarakallu,40,1/1/2000,15517.51076
"Magadi Main Road, BEL Layout, 1st Stage, Bharat Nagar, Bengaluru",Herohalli,72,1/1/2000,15566.37787
"Tata Aquila Heights, HMT Estate, Jalahalli, Bengaluru",Jalahalli,16,1/1/2000,15441.19196
"300 43rd Main Road, Jawaregowda Nagar, Javarandoddi, RR Nagar, Bengaluru",Rajarajeshwari Nagar,160,1/1/2000,15462.17953
"0 7th D Main Road, Bandappa Garden, Mathikere, Bengaluru",J P Park,17,1/1/2000,15465.72672
"0 4th Cross Road, H Gurumurthy ReddyColony, Yeshwanthpur, Bengaluru",Yeshwanthpura,37,1/1/2000,15506.49227
"700 Ashwath Katte Road, Yeshwanthpur Suburb II Stage, Peenya, Peenya, Bengaluru",HMT Ward,38,1/1/2000,15493.76115
