WARD_NAME,WARD_NO,date,mean
HBR Layout,24,2001-01-01,4.90E-08
Banasavadi,27,2001-01-01,4.90E-08
Kammanahalli,28,2001-01-01,4.90E-08
Kacharkanahalli,29,2001-01-01,4.90E-08
Kadugondanahalli,30,2001-01-01,4.90E-08
Lingarajapura,49,2001-01-01,4.90E-08
Maruthi Seva Nagar,59,2001-01-01,3.22E-07
Konena Agrahara,113,2001-01-01,5.73E-07
Benniganahalli,50,2001-01-01,3.22E-07
C V Raman Nagar,57,2001-01-01,5.73E-07
New Tippasandara,58,2001-01-01,5.73E-07
Sarvagna Nagar,79,2001-01-01,5.73E-07
Hoysala Nagar,80,2001-01-01,5.73E-07
Jeevanbhima Nagar,88,2001-01-01,5.73E-07
Sampangiram Nagar,110,2001-01-01,5.73E-07
Ramaswamy Palya,62,2001-01-01,4.90E-08
Jayamahal,63,2001-01-01,4.85E-07
Halsoor,90,2001-01-01,5.73E-07
Bharathi Nagar,91,2001-01-01,5.73E-07
Shivaji Nagar,92,2001-01-01,5.73E-07
Vasanth Nagar,93,2001-01-01,5.73E-07
Shantala Nagar,111,2001-01-01,5.73E-07
Domlur,112,2001-01-01,5.73E-07
Agaram,114,2001-01-01,5.73E-07
Vannarpet,115,2001-01-01,5.73E-07
Nilasandra,116,2001-01-01,5.73E-07
Shanthi Nagar,117,2001-01-01,5.73E-07
Jogupalya,89,2001-01-01,5.73E-07
Chickpete,109,2001-01-01,5.73E-07
Cottonpete,120,2001-01-01,5.73E-07
Binnipete,121,2001-01-01,5.73E-07
Dattatreya Temple,77,2001-01-01,5.28E-07
Gandhinagar,94,2001-01-01,5.73E-07
Subhash Nagar,95,2001-01-01,5.73E-07
Okalipuram,96,2001-01-01,5.73E-07
Basaveshwara Nagar,100,2001-01-01,5.73E-07
Kamakshipalya,101,2001-01-01,5.73E-07
Shivanagara,107,2001-01-01,5.73E-07
Sriramamandir,108,2001-01-01,5.73E-07
Dayananda Nagar,97,2001-01-01,5.73E-07
Prakash Nagar,98,2001-01-01,5.73E-07
Rajaji Nagar,99,2001-01-01,5.73E-07
Kaveripura,103,2001-01-01,5.73E-07
Govindaraja Nagar,104,2001-01-01,5.73E-07
Agrahara Dasarahalli,105,2001-01-01,5.73E-07
Dr. Raj Kumar Ward,106,2001-01-01,5.73E-07
Marenahalli,125,2001-01-01,5.73E-07
Maruthi Mandir ward,126,2001-01-01,5.73E-07
Mudalapalya,127,2001-01-01,5.73E-07
Nagarabhavi,128,2001-01-01,5.73E-07
Nayandahalli,131,2001-01-01,5.73E-07
Kempapura Agrahara,122,2001-01-01,5.73E-07
Vijayanagar,123,2001-01-01,5.73E-07
Hosahalli,124,2001-01-01,5.73E-07
Attiguppe,132,2001-01-01,5.73E-07
Hampi Nagar,133,2001-01-01,5.73E-07
Bapuji Nagar,134,2001-01-01,5.73E-07
Gali Anjenaya Temple ward,157,2001-01-01,5.73E-07
