Ward_No,date,mean
1,11/26/2019,-1.42346184
2,11/26/2019,-1.489181413
3,11/26/2019,-1.503785091
4,11/26/2019,-1.347005584
52,11/26/2019,-1.144534136
26,11/26/2019,-1.084882613
25,11/26/2019,-1.101648999
51,11/26/2019,-1.003186283
53,11/26/2019,-1.127096975
54,11/26/2019,-1.164546782
55,11/26/2019,-0.960824769
56,11/26/2019,-0.962097452
81,11/26/2019,-0.956000951
87,11/26/2019,-1.109833898
10,11/26/2019,-1.241150313
11,11/26/2019,-1.310557689
5,11/26/2019,-1.283795615
6,11/26/2019,-1.143384895
7,11/26/2019,-1.193752223
8,11/26/2019,-1.231327764
9,11/26/2019,-1.273720309
198,11/26/2019,-1.401767013
130,11/26/2019,-1.189091361
159,11/26/2019,-1.356610501
40,11/26/2019,-1.177208527
72,11/26/2019,-1.170360892
129,11/26/2019,-1.07200558
16,11/26/2019,-1.284263578
160,11/26/2019,-1.135976456
17,11/26/2019,-1.193950935
37,11/26/2019,-1.005911648
38,11/26/2019,-1.127039175
42,11/26/2019,-0.922567922
69,11/26/2019,-0.916344017
73,11/26/2019,-0.948179206
12,11/26/2019,-1.301020617
13,11/26/2019,-1.204980965
14,11/26/2019,-1.1384211
15,11/26/2019,-1.188589138
39,11/26/2019,-1.110932524
41,11/26/2019,-0.977341009
70,11/26/2019,-0.918894043
71,11/26/2019,-0.936357488
102,11/26/2019,-0.917543601
43,11/26/2019,-0.912952194
44,11/26/2019,-0.926889597
67,11/26/2019,-0.913757964
68,11/26/2019,-0.912825286
74,11/26/2019,-0.914247049
75,11/26/2019,-0.912911738
35,11/26/2019,-1.146444169
36,11/26/2019,-1.18129533
45,11/26/2019,-1.108931494
64,11/26/2019,-1.154837847
65,11/26/2019,-1.131808525
66,11/26/2019,-0.978437879
76,11/26/2019,-1.032316077
18,11/26/2019,-1.199226084
19,11/26/2019,-1.183019836
20,11/26/2019,-1.10016874
21,11/26/2019,-0.977368764
22,11/26/2019,-0.964758098
33,11/26/2019,-0.97825464
34,11/26/2019,-1.072389164
46,11/26/2019,-1.009722359
31,11/26/2019,-0.964682744
32,11/26/2019,-0.964758098
47,11/26/2019,-0.970864043
48,11/26/2019,-0.964758098
60,11/26/2019,-0.968583172
61,11/26/2019,-0.97369224
78,11/26/2019,-1.046118888
23,11/26/2019,-0.963271411
24,11/26/2019,-0.956364793
27,11/26/2019,-0.964638704
28,11/26/2019,-0.953239613
29,11/26/2019,-0.953029332
30,11/26/2019,-0.962099605
49,11/26/2019,-0.959205385
59,11/26/2019,-1.039227705
113,11/26/2019,-1.116783048
50,11/26/2019,-1.042179274
57,11/26/2019,-1.02130823
58,11/26/2019,-1.083126854
79,11/26/2019,-1.106653313
80,11/26/2019,-1.105650707
88,11/26/2019,-1.089536949
110,11/26/2019,-1.051582916
62,11/26/2019,-1.005196159
63,11/26/2019,-1.067344406
90,11/26/2019,-1.151140783
91,11/26/2019,-1.149811742
92,11/26/2019,-1.135338225
