Ward_No,date,mean
2,11/26/2019,-1.813852293
5,11/26/2019,-1.823815757
4,11/26/2019,-1.895657603
3,11/26/2019,-1.889236993
1,11/26/2019,-1.793285537
6,11/26/2019,-1.741707319
21,11/26/2019,-1.571571398
7,11/26/2019,-1.776685445
8,11/26/2019,-1.751040132
10,11/26/2019,-1.590145001
13,11/26/2019,-1.556351401
14,11/26/2019,-1.550716421
9,11/26/2019,-1.56683969
11,11/26/2019,-1.573467851
12,11/26/2019,-1.550097466
20,11/26/2019,-1.571801335
15,11/26/2019,-1.551255138
16,11/26/2019,-1.550922939
17,11/26/2019,-1.562077009
18,11/26/2019,-1.564123906
24,11/26/2019,-1.751662618
19,11/26/2019,-1.571798564
22,11/26/2019,-1.571815729
23,11/26/2019,-1.571815729
27,11/26/2019,-1.727840072
28,11/26/2019,-1.5951434
25,11/26/2019,-1.724463879
26,11/26/2019,-1.906934246
30,11/26/2019,-1.605324165
31,11/26/2019,-1.572936245
32,11/26/2019,-1.576827729
46,11/26/2019,-1.581323507
51,11/26/2019,-1.601352893
33,11/26/2019,-1.564970904
47,11/26/2019,-1.598923676
34,11/26/2019,-1.569212101
35,11/26/2019,-1.571293512
42,11/26/2019,-1.532389478
43,11/26/2019,-1.503053799
45,11/26/2019,-1.517947368
48,11/26/2019,-1.584001328
49,11/26/2019,-1.543909758
50,11/26/2019,-1.528409219
36,11/26/2019,-1.546001384
37,11/26/2019,-1.519453448
71,11/26/2019,-1.462068915
38,11/26/2019,-1.471592163
39,11/26/2019,-1.51567082
40,11/26/2019,-1.536917014
41,11/26/2019,-1.505969646
70,11/26/2019,-1.462762155
44,11/26/2019,-1.462543699
58,11/26/2019,-1.466211421
59,11/26/2019,-1.469273455
69,11/26/2019,-1.473058432
55,11/26/2019,-1.536755559
54,11/26/2019,-1.510838628
53,11/26/2019,-1.561921144
52,11/26/2019,-1.588264226
61,11/26/2019,-1.581716753
60,11/26/2019,-1.60367681
57,11/26/2019,-1.500501474
56,11/26/2019,-1.554500069
64,11/26/2019,-1.585919513
63,11/26/2019,-1.56702002
62,11/26/2019,-1.649112488
67,11/26/2019,-1.552362476
66,11/26/2019,-1.520017319
65,11/26/2019,-1.480800626
68,11/26/2019,-1.617134711
72,11/26/2019,-1.551809399
73,11/26/2019,-1.540651781
74,11/26/2019,-1.552238271
77,11/26/2019,-1.548984021
75,11/26/2019,-1.573509476
76,11/26/2019,-1.543718419
76,11/26/2019,-1.53782029
78,11/26/2019,-1.546902916
79,11/26/2019,-1.621489522
29,11/26/2019,-1.791115331
83,11/26/2019,-1.669245477
82,11/26/2019,-1.62413288
80,11/26/2019,-1.610215145
85,11/26/2019,-1.550605949
81,11/26/2019,-1.84757158
84,11/26/2019,-1.673428282
2,11/27/2019,-2.004376821
5,11/27/2019,-2.025048669
4,11/27/2019,-2.068111515
3,11/27/2019,-2.112406395
