date,mean,Ward_No
8/12/2018,-1.419284155,49
8/12/2018,-1.132408857,50
8/12/2018,-1.739580708,51
8/12/2018,-2.421376807,52
8/12/2018,-2.421699286,53
8/12/2018,-2.330279186,54
8/12/2018,-1.50209885,55
8/12/2018,-1.360777788,56
8/12/2018,-1.679882234,57
8/12/2018,-1.668742906,58
8/12/2018,-1.733968033,59
8/12/2018,-1.988048702,60
8/12/2018,-1.543269301,61
8/12/2018,-1.543418169,62
8/12/2018,-1.624619726,63
8/12/2018,-1.706114058,64
8/12/2018,-1.40109366,65
8/12/2018,-2.421699286,66
8/12/2018,-2.418880065,67
8/12/2018,-1.543418169,1
8/12/2018,-1.622555486,2
8/12/2018,-2.008513727,3
8/12/2018,-1.680115104,4
8/12/2018,-1.543418169,5
8/12/2018,-1.543418169,6
8/12/2018,-1.543418169,7
8/12/2018,-1.612539413,8
8/12/2018,-1.561402705,9
8/12/2018,-1.588593127,10
8/12/2018,-1.637175363,11
8/12/2018,-1.576146301,12
8/12/2018,-1.544089815,13
8/12/2018,-1.997106934,14
8/12/2018,-1.55773662,15
8/12/2018,-1.680114565,16
8/12/2018,-1.680115104,17
8/12/2018,-1.679663377,18
8/12/2018,-1.680115104,19
8/12/2018,-1.680115104,20
8/12/2018,-1.669514664,21
8/12/2018,-1.680115104,22
8/12/2018,-1.684188186,23
8/12/2018,-1.678474321,24
8/12/2018,-1.681552887,25
8/12/2018,-1.680115104,26
8/12/2018,-2.421699286,27
8/12/2018,-2.32130084,28
8/12/2018,-1.760347197,29
8/12/2018,-1.68064807,30
8/12/2018,-1.680115104,31
8/12/2018,-1.680115104,32
8/12/2018,-1.680115104,33
8/12/2018,-1.680115104,34
8/12/2018,-1.676379751,35
8/12/2018,-1.553927175,36
8/12/2018,-1.679800244,37
8/12/2018,-1.680115104,38
8/12/2018,-1.688688538,39
8/12/2018,-1.790693845,40
8/12/2018,-1.796938934,41
8/12/2018,-1.680115104,42
8/12/2018,-1.862220146,43
8/12/2018,-1.747382838,44
8/12/2018,-1.629393271,45
8/12/2018,-1.54345598,46
8/12/2018,-1.512973164,47
8/12/2018,-1.4783672,48
8/13/2018,-1.710762271,49
8/13/2018,-1.714430802,50
8/13/2018,-1.637036351,51
8/13/2018,-1.681181676,52
8/13/2018,-1.553672607,53
8/13/2018,-1.553211868,54
8/13/2018,-1.527759431,55
8/13/2018,-1.520656618,56
8/13/2018,-1.563225797,57
8/13/2018,-1.590111415,58
8/13/2018,-1.612346687,59
8/13/2018,-1.634358316,60
8/13/2018,-1.726999813,61
8/13/2018,-1.726371018,62
8/13/2018,-1.520660448,63
8/13/2018,-1.520656466,64
8/13/2018,-1.520656466,65
8/13/2018,-1.621069754,66
8/13/2018,-1.601432607,67
8/13/2018,-1.662061981,1
8/13/2018,-1.707970262,2
8/13/2018,-1.707334434,3
8/13/2018,-1.540026981,4
8/13/2018,-1.751531058,5
8/13/2018,-1.733068043,6
8/13/2018,-1.708505666,7
8/13/2018,-1.707970235,8
8/13/2018,-1.668238504,9
8/13/2018,-1.634422183,10
8/13/2018,-1.636428535,11
8/13/2018,-1.707970262,12
8/13/2018,-1.707970262,13
8/13/2018,-1.707970262,14
8/13/2018,-1.707700401,15
8/13/2018,-1.634422183,16
8/13/2018,-1.634422183,17
8/13/2018,-1.656304389,18
8/13/2018,-1.668022108,19
8/13/2018,-1.644225236,20
8/13/2018,-1.689816427,21
8/13/2018,-1.702299344,22
8/13/2018,-1.684627827,23
8/13/2018,-1.70797026,24
8/13/2018,-1.707970262,25
8/13/2018,-1.707970262,26
8/13/2018,-1.705389704,27
8/13/2018,-1.707747893,28
8/13/2018,-1.634275678,29
8/13/2018,-1.633826543,30
8/13/2018,-1.627952543,31
8/13/2018,-1.599761188,32
8/13/2018,-1.596164011,33
8/13/2018,-1.558374366,34
8/13/2018,-1.520656466,35
8/13/2018,-1.707970262,36
8/13/2018,-1.524275172,37
8/13/2018,-1.620295169,38
8/13/2018,-1.707970262,39
8/13/2018,-1.707970262,40
8/13/2018,-1.579422747,41
8/13/2018,-1.529087867,42
8/13/2018,-1.673605594,43
8/13/2018,-1.63479198,44
8/13/2018,-1.634836827,45
8/13/2018,-1.764776324,46
8/13/2018,-1.780022731,47
8/13/2018,-1.749075781,48
8/14/2018,-0.706057828,49
8/14/2018,-0.370047356,50
8/14/2018,-0.398448392,51
8/14/2018,-0.85901152,52
8/14/2018,-1.03721404,53
8/14/2018,-0.857015848,54
8/14/2018,-0.857015848,55
8/14/2018,-0.857015848,56
8/14/2018,-0.857015848,57
8/14/2018,-0.852266302,58
8/14/2018,-0.770463496,59
8/14/2018,-0.629968265,60
8/14/2018,-0.739918591,61
8/14/2018,-0.668404312,62
8/14/2018,-0.857015848,63
8/14/2018,-0.857015848,64
8/14/2018,-0.857164886,65
8/14/2018,-1.037749569,66
8/14/2018,-0.953944157,67
8/14/2018,-0.713350091,1
8/14/2018,-0.767189801,2
8/14/2018,-0.813339881,3
8/14/2018,-0.857015848,4
8/14/2018,-0.407363499,5
8/14/2018,-0.409543289,6
8/14/2018,-0.767122647,7
8/14/2018,-0.767189801,8
8/14/2018,-0.767189801,9
8/14/2018,-0.767189801,10
8/14/2018,-0.767189801,11
8/14/2018,-0.767189801,12
