Ward_No,date,mean
0,7/11/2018,-0.162523804
7,7/11/2018,-0.079248895
1,7/11/2018,-0.031420369
2,7/11/2018,-0.031599278
3,7/11/2018,-0.077780764
4,7/11/2018,-0.091502902
6,7/11/2018,-0.091504753
5,7/11/2018,-0.091504753
8,7/11/2018,-0.091504753
9,7/11/2018,-0.091504753
10,7/11/2018,-0.091504753
11,7/11/2018,-0.091503389
12,7/11/2018,-0.090674166
13,7/11/2018,-0.087675797
14,7/11/2018,-0.086191457
60,7/11/2018,-0.112470368
53,7/11/2018,-0.102381505
51,7/11/2018,-0.100270419
49,7/11/2018,-0.090586573
50,7/11/2018,-0.064722253
54,7/11/2018,-0.102381505
55,7/11/2018,-0.102381505
56,7/11/2018,-0.102381505
52,7/11/2018,-0.097972342
57,7/11/2018,-0.102381505
61,7/11/2018,-0.155778845
58,7/11/2018,-0.102381505
63,7/11/2018,-0.17984887
62,7/11/2018,-0.148376233
59,7/11/2018,-0.125364715
127,7/11/2018,-0.163737492
136,7/11/2018,-0.181871638
128,7/11/2018,-0.181871638
129,7/11/2018,-0.181871638
138,7/11/2018,-0.181871638
137,7/11/2018,-0.181871638
142,7/11/2018,-0.181871638
139,7/11/2018,-0.181871638
140,7/11/2018,-0.181871638
141,7/11/2018,-0.181871638
134,7/11/2018,-0.181871638
135,7/11/2018,-0.181871638
133,7/11/2018,-0.181871638
131,7/11/2018,-0.181871638
130,7/11/2018,-0.181871638
132,7/11/2018,-0.181871638
16,7/11/2018,-0.064585407
17,7/11/2018,-0.06371055
19,7/11/2018,-0.068025291
20,7/11/2018,-0.068025291
21,7/11/2018,-0.069074605
18,7/11/2018,-0.07003201
15,7/11/2018,-0.033174084
37,7/11/2018,-0.092466591
34,7/11/2018,-0.07406221
35,7/11/2018,-0.09702606
44,7/11/2018,-0.102381505
45,7/11/2018,-0.102381505
36,7/11/2018,-0.102381505
46,7/11/2018,-0.102381505
47,7/11/2018,-0.102381505
48,7/11/2018,-0.101464726
42,7/11/2018,-0.093844448
43,7/11/2018,-0.070823755
39,7/11/2018,-0.07548446
40,7/11/2018,-0.078321666
41,7/11/2018,-0.102381505
38,7/11/2018,-0.091002623
109,7/11/2018,-0.177402898
112,7/11/2018,-0.181589832
110,7/11/2018,-0.178703958
111,7/11/2018,-0.179687336
114,7/11/2018,-0.181839969
116,7/11/2018,-0.181871638
115,7/11/2018,-0.181871638
113,7/11/2018,-0.181871638
117,7/11/2018,-0.181871638
122,7/11/2018,-0.181871638
126,7/11/2018,-0.181871638
124,7/11/2018,-0.181871638
125,7/11/2018,-0.181871638
123,7/11/2018,-0.181871638
118,7/11/2018,-0.181871638
120,7/11/2018,-0.181871638
121,7/11/2018,-0.181871638
119,7/11/2018,-0.181871638
70,7/11/2018,-0.102381505
64,7/11/2018,-0.102381505
65,7/11/2018,-0.102374718
67,7/11/2018,-0.102381505
68,7/11/2018,-0.102381505
66,7/11/2018,-0.102381505
77,7/11/2018,-0.102381505
73,7/11/2018,-0.102381505
71,7/11/2018,-0.102381505
69,7/11/2018,-0.102381505
72,7/11/2018,-0.102381505
74,7/11/2018,-0.102381505
75,7/11/2018,-0.102381505
78,7/11/2018,-0.102381505
76,7/11/2018,-0.102381505
150,7/11/2018,-0.09591952
153,7/11/2018,-0.09591952
149,7/11/2018,-0.162154406
152,7/11/2018,-0.156210089
155,7/11/2018,-0.171520248
154,7/11/2018,-0.132292688
151,7/11/2018,-0.096001551
146,7/11/2018,-0.100636295
143,7/11/2018,-0.089219724
145,7/11/2018,-0.165993601
144,7/11/2018,-0.151292194
148,7/11/2018,-0.181871638
147,7/11/2018,-0.116674534
192,7/11/2018,-0.111045223
193,7/11/2018,-0.104679762
194,7/11/2018,-0.048810907
195,7/11/2018,-0.048810907
196,7/11/2018,-0.048810907
197,7/11/2018,-0.048810976
198,7/11/2018,0.007730305
199,7/11/2018,0.099892901
200,7/11/2018,0.092081077
26,7/11/2018,-0.072807212
22,7/11/2018,-0.068025291
23,7/11/2018,-0.068025291
32,7/11/2018,-0.100668422
24,7/11/2018,-0.073213846
25,7/11/2018,-0.068074498
29,7/11/2018,-0.068025291
28,7/11/2018,-0.068025291
27,7/11/2018,-0.068025291
30,7/11/2018,-0.069093866
33,7/11/2018,-0.096795681
31,7/11/2018,-0.079333104
79,7/11/2018,-0.038725515
80,7/11/2018,-0.071730111
83,7/11/2018,-0.100993353
81,7/11/2018,-0.048097065
82,7/11/2018,-0.090331343
85,7/11/2018,-0.052316526
84,7/11/2018,-0.10022801
93,7/11/2018,-0.113263949
90,7/11/2018,-0.102381505
91,7/11/2018,-0.087039806
92,7/11/2018,-0.105935307
88,7/11/2018,-0.102381505
87,7/11/2018,-0.102381505
89,7/11/2018,-0.102381505
86,7/11/2018,-0.061307385
160,7/11/2018,-0.171838495
161,7/11/2018,-0.169033632
165,7/11/2018,-0.168238353
159,7/11/2018,-0.130088596
156,7/11/2018,-0.097181077
158,7/11/2018,-0.16840411
167,7/11/2018,-0.147024774
166,7/11/2018,-0.129868147
164,7/11/2018,-0.153730772
162,7/11/2018,-0.16857027
163,7/11/2018,-0.169033632
157,7/11/2018,-0.125867514
186,7/11/2018,-0.161035027
187,7/11/2018,-0.152564371
169,7/11/2018,-0.167238083
168,7/11/2018,-0.164079488
190,7/11/2018,-0.051781505
188,7/11/2018,-0.149553323
191,7/11/2018,-0.064918407
183,7/11/2018,-0.169033632
185,7/11/2018,-0.169033632
184,7/11/2018,-0.169033632
189,7/11/2018,-0.099892262
103,7/11/2018,-0.102830244
102,7/11/2018,-0.107358587
108,7/11/2018,-0.176234025
106,7/11/2018,-0.164972197
101,7/11/2018,-0.103658654
94,7/11/2018,-0.102381505
100,7/11/2018,-0.102598119
99,7/11/2018,-0.102381505
95,7/11/2018,-0.102381505
96,7/11/2018,-0.102381505
97,7/11/2018,-0.102381505
105,7/11/2018,-0.157317502
104,7/11/2018,-0.106299868
107,7/11/2018,-0.164383655
98,7/11/2018,-0.102381505
179,7/11/2018,-0.169033632
182,7/11/2018,-0.169033632
181,7/11/2018,-0.169033632
176,7/11/2018,-0.170890007
173,7/11/2018,-0.179630632
170,7/11/2018,-0.179676078
171,7/11/2018,-0.179304325
175,7/11/2018,-0.171321903
180,7/11/2018,-0.169033632
172,7/11/2018,-0.176307705
177,7/11/2018,-0.169033632
178,7/11/2018,-0.169033632
174,7/11/2018,-0.170135167
0,7/12/2018,-0.47612079
7,7/12/2018,-0.306069045
1,7/12/2018,-0.48616302
2,7/12/2018,-0.48616302
3,7/12/2018,-0.484776483
4,7/12/2018,-0.456334483
6,7/12/2018,-0.364836329
5,7/12/2018,-0.417799157
8,7/12/2018,-0.389285717
9,7/12/2018,-0.38443241
10,7/12/2018,-0.364004733
11,7/12/2018,-0.35899764
12,7/12/2018,-0.317278707
13,7/12/2018,-0.304119349
