Ward_No,date,mean
,7/11/2018,0.438815442
150,7/11/2018,0.745821322
176,7/11/2018,0.416006083
129,7/11/2018,0.767065585
173,7/11/2018,0.562144074
140,7/11/2018,0.74024421
206,7/11/2018,0.55588001
145,7/11/2018,0.727813528
179,7/11/2018,0.270564408
3,7/11/2018,0.264471282
28,7/11/2018,0.505962529
156,7/11/2018,0.557335711
7,7/11/2018,0.072309226
255,7/11/2018,0.404801071
29,7/11/2018,0.369337971
108,7/11/2018,0.618443747
215,7/11/2018,0.560142472
1,7/11/2018,0.377739923
126,7/11/2018,0.639310837
21,7/11/2018,0.268652737
263,7/11/2018,0.283416143
2,7/11/2018,0.379553189
19,7/11/2018,0.268649068
133,7/11/2018,0.69739419
216,7/11/2018,0.523616901
231,7/11/2018,0.448186525
122,7/11/2018,0.639808049
201,7/11/2018,0.256141335
8,7/11/2018,0.137045063
238,7/11/2018,0.404801071
196,7/11/2018,0.55588001
181,7/11/2018,0.352593954
104,7/11/2018,0.596580565
136,7/11/2018,0.656695825
252,7/11/2018,0.404801071
30,7/11/2018,0.589699049
166,7/11/2018,0.696135163
152,7/11/2018,0.766008986
32,7/11/2018,0.622862374
34,7/11/2018,0.531488261
62,7/11/2018,0.596580565
22,7/11/2018,0.27573916
199,7/11/2018,0.427650277
232,7/11/2018,0.43744521
27,7/11/2018,0.388836755
141,7/11/2018,0.678005875
128,7/11/2018,0.717563992
13,7/11/2018,0.174047344
262,7/11/2018,0.348195933
261,7/11/2018,0.188940716
135,7/11/2018,0.642262858
183,7/11/2018,0.487632327
170,7/11/2018,0.609554409
52,7/11/2018,0.382838844
131,7/11/2018,0.767065585
237,7/11/2018,0.404801071
67,7/11/2018,0.596570631
175,7/11/2018,0.481580101
260,7/11/2018,0.404801071
203,7/11/2018,0.256141335
210,7/11/2018,0.561072886
153,7/11/2018,0.534082435
92,7/11/2018,0.596580565
164,7/11/2018,0.644104177
162,7/11/2018,0.638326041
143,7/11/2018,0.685472545
169,7/11/2018,0.647782492
18,7/11/2018,0.268651186
9,7/11/2018,0.404990594
218,7/11/2018,0.561072886
204,7/11/2018,0.256141335
138,7/11/2018,0.639310837
88,7/11/2018,0.409936801
142,7/11/2018,0.696135163
247,7/11/2018,0.404801071
87,7/11/2018,0.450536305
59,7/11/2018,0.596580565
223,7/11/2018,0.561072886
120,7/11/2018,0.761953033
10,7/11/2018,0.34413038
61,7/11/2018,0.596580565
250,7/11/2018,0.404801071
235,7/11/2018,0.404801071
86,7/11/2018,0.404801071
253,7/11/2018,0.392728487
23,7/11/2018,0.276530351
174,7/11/2018,0.571251571
233,7/11/2018,0.404801071
245,7/11/2018,0.404801071
111,7/11/2018,0.767065585
85,7/11/2018,0.41684124
151,7/11/2018,0.765110384
100,7/11/2018,0.596580565
91,7/11/2018,0.537489706
214,7/11/2018,0.560389581
172,7/11/2018,0.604808059
144,7/11/2018,0.692393412
130,7/11/2018,0.764236488
47,7/11/2018,0.591570817
202,7/11/2018,0.256141335
81,7/11/2018,0.540495061
72,7/11/2018,0.423792005
99,7/11/2018,0.596580565
6,7/11/2018,0.162131437
268,7/11/2018,0.217980328
168,7/11/2018,0.71765802
243,7/11/2018,0.403268603
154,7/11/2018,0.560659942
89,7/11/2018,0.509935499
220,7/11/2018,0.561072886
42,7/11/2018,0.596580565
33,7/11/2018,0.547524066
198,7/11/2018,0.256141335
137,7/11/2018,0.63931522
146,7/11/2018,0.767065585
66,7/11/2018,0.583249818
64,7/11/2018,0.596580565
191,7/11/2018,0.571746827
265,7/11/2018,0.137809396
171,7/11/2018,0.695241992
123,7/11/2018,0.669141351
160,7/11/2018,0.55588001
225,7/11/2018,0.407852034
159,7/11/2018,0.555904271
246,7/11/2018,0.398297152
68,7/11/2018,0.585155041
254,7/11/2018,0.404801071
76,7/11/2018,0.407819398
