date,mean,Ward_No
7/11/2018,-0.247067873,90
7/11/2018,-0.366336375,117
7/11/2018,-0.366335735,118
7/11/2018,-0.291140941,127
7/11/2018,-0.307657236,121
7/11/2018,-0.269967854,123
7/11/2018,-0.270679614,122
7/11/2018,-0.289436975,119
7/11/2018,-0.281670547,135
7/11/2018,-0.29597598,134
7/11/2018,-0.282719811,131
7/11/2018,-0.349358083,115
7/11/2018,-0.262115777,138
7/11/2018,-0.262058717,142
7/11/2018,-0.262115777,141
7/11/2018,-0.262115777,137
7/11/2018,-0.262115777,140
7/11/2018,-0.238080765,23
7/11/2018,-0.24278498,19
7/11/2018,-0.251059119,38
7/11/2018,-0.226341766,27
7/11/2018,-0.23770088,24
7/11/2018,-0.181855198,29
7/11/2018,-0.121696046,37
7/11/2018,-0.130253981,37
7/11/2018,-0.113165637,39
7/11/2018,-0.246321633,75
7/11/2018,-0.246321633,77
7/11/2018,-0.049436759,34
7/11/2018,-0.224667981,83
7/11/2018,-0.239000873,80
7/11/2018,-0.046457903,58
7/11/2018,-0.045063216,57
7/11/2018,-0.157284047,56
7/11/2018,-0.251808868,147
7/11/2018,-0.307181916,148
7/11/2018,-0.366336375,100
7/11/2018,-0.359242637,149
7/11/2018,-0.269967854,126
7/11/2018,-0.269967854,124
7/11/2018,-0.270863958,128
7/11/2018,-0.308679054,114
7/11/2018,-0.178155182,108
7/11/2018,-0.36188338,120
7/11/2018,-0.284394992,136
7/11/2018,-0.262115777,139
7/11/2018,-0.051244131,40
7/11/2018,-0.045238916,36
7/11/2018,-0.24177472,20
7/11/2018,-0.2279761,21
7/11/2018,-0.246321633,76
7/11/2018,-0.246321633,63
7/11/2018,-0.246321633,73
7/11/2018,-0.224667981,84
7/11/2018,-0.224918321,81
7/11/2018,-0.054869257,55
7/11/2018,-0.101223238,53
7/11/2018,-0.057598556,59
7/11/2018,-0.098797772,110
7/11/2018,-0.241910036,106
7/11/2018,-0.366217889,116
7/11/2018,-0.264240392,150
7/11/2018,-0.287960626,1
7/11/2018,-0.253163273,12
7/11/2018,-0.246489618,93
7/11/2018,-0.224670758,8
7/11/2018,-0.297212994,133
7/11/2018,-0.284820678,132
7/11/2018,-0.25741413,105
7/11/2018,-0.224667981,9
7/11/2018,-0.292327295,92
7/11/2018,-0.256994847,130
7/11/2018,-0.20532418,129
7/11/2018,-0.269586896,125
7/11/2018,-0.334530459,107
7/11/2018,-0.12548533,109
7/11/2018,-0.315401229,104
7/11/2018,-0.239783109,89
7/11/2018,-0.225531061,86
7/11/2018,-0.225064128,146
7/11/2018,-0.235783228,88
7/11/2018,-0.246099158,79
7/11/2018,-0.224674849,85
7/11/2018,-0.225095724,87
7/11/2018,-0.269485553,2
7/11/2018,-0.261317303,5
7/11/2018,-0.245233997,6
7/11/2018,-0.224667981,10
7/11/2018,-0.246321633,74
7/11/2018,-0.224667981,22
7/11/2018,-0.187591929,49
7/11/2018,-0.246321633,51
7/11/2018,-0.214115966,62
7/11/2018,-0.246321633,65
7/11/2018,-0.188230126,61
7/11/2018,-0.25750499,143
7/11/2018,-0.26121783,144
7/11/2018,-0.22562213,25
7/11/2018,-0.228623799,26
7/11/2018,-0.227228924,82
7/11/2018,-0.222857161,66
7/11/2018,-0.246321633,50
7/11/2018,-0.238152739,145
7/11/2018,-0.244646769,28
7/11/2018,-0.215922406,30
7/11/2018,-0.045063216,43
7/11/2018,-0.168374623,32
7/11/2018,0.026648209,60
7/11/2018,-0.246321633,78
7/11/2018,-0.045063216,35
7/11/2018,-0.045063216,44
7/11/2018,-0.045063216,45
7/11/2018,-0.045163021,48
7/11/2018,-0.045063216,46
7/11/2018,-0.045063216,47
7/11/2018,-0.045063216,54
7/11/2018,-0.065722708,33
7/11/2018,-0.148433341,52
7/11/2018,-0.246321633,94
7/11/2018,-0.246321633,64
7/11/2018,-0.246321633,72
7/11/2018,-0.246321633,70
7/11/2018,-0.246321633,71
7/11/2018,-0.246321633,69
7/11/2018,-0.246321633,68
7/11/2018,-0.246321633,67
7/11/2018,-0.355087508,97
7/11/2018,-0.366336375,96
7/11/2018,-0.366336375,102
7/11/2018,-0.366336375,101
7/11/2018,-0.366336375,103
7/11/2018,-0.366336375,99
7/11/2018,-0.366336375,98
7/11/2018,-0.328825186,95
7/11/2018,-0.288702228,91
7/11/2018,-0.253221206,18
7/11/2018,-0.061705634,41
7/11/2018,-0.098653115,112
7/11/2018,-0.162425368,111
7/11/2018,-0.045063216,42
7/11/2018,-0.252275355,17
7/11/2018,-0.247596464,16
7/11/2018,-0.224667981,7
7/11/2018,-0.258477873,14
7/11/2018,-0.253224671,15
7/12/2018,-0.326766339,90
7/12/2018,-0.146233373,117
7/12/2018,-0.165797492,118
7/12/2018,-0.277686584,127
7/12/2018,-0.276084006,121
7/12/2018,-0.196018926,123
7/12/2018,-0.275235054,122
7/12/2018,-0.519883608,119
7/12/2018,-0.523246146,135
7/12/2018,-0.609689346,134
7/12/2018,-0.436384773,131
7/12/2018,-0.23274973,115
7/12/2018,-0.788307638,138
7/12/2018,-0.570212986,142
7/12/2018,-0.756435174,141
7/12/2018,-0.788832999,137
7/12/2018,-0.788015691,140
7/12/2018,-0.108506677,23
7/12/2018,-0.484684919,19
7/12/2018,-0.152546842,38
7/12/2018,-0.095702365,27
7/12/2018,-0.095702365,24
7/12/2018,-0.095702365,29
7/12/2018,-0.104045731,37
7/12/2018,-0.095702365,37
7/12/2018,-0.165850099,39
7/12/2018,-0.133516043,75
7/12/2018,-0.154367738,77
7/12/2018,-0.135575532,34
7/12/2018,-0.099617948,83
7/12/2018,-0.095704411,80
7/12/2018,-0.465565668,58
7/12/2018,-0.380504736,57
7/12/2018,-0.172832591,56
7/12/2018,-0.356485218,147
7/12/2018,-0.356485218,148
7/12/2018,-0.079345,100
7/12/2018,-0.229030295,149
7/12/2018,-0.276084006,126
7/12/2018,-0.275707041,124
7/12/2018,-0.293563118,128
7/12/2018,-0.172689671,114
7/12/2018,-0.18950344,108
7/12/2018,-0.305637173,120
7/12/2018,-0.790530278,136
7/12/2018,-0.787736118,139
7/12/2018,-0.347148209,40
7/12/2018,-0.168700006,36
7/12/2018,-0.69980444,20
7/12/2018,-0.708274901,21
7/12/2018,-0.172482282,76
7/12/2018,-0.172482282,63
7/12/2018,-0.158525672,73
7/12/2018,-0.11370476,84
7/12/2018,-0.113646886,81
7/12/2018,-0.177738211,55
7/12/2018,-0.172482282,53
7/12/2018,-0.324228783,59
7/12/2018,-0.306224344,110
7/12/2018,-0.329331482,106
7/12/2018,-0.216202652,116
7/12/2018,-0.35650425,150
7/12/2018,-0.738562911,1
7/12/2018,-0.702638275,12
7/12/2018,-0.06342488,93
7/12/2018,-0.681228352,8
7/12/2018,-0.737002452,133
7/12/2018,-0.525689276,132
7/12/2018,-0.292315255,105
7/12/2018,-0.55244615,9
7/12/2018,-0.07657206,92
7/12/2018,-0.639407093,130
7/12/2018,-0.71682149,129
7/12/2018,-0.536087702,125
7/12/2018,-0.231062029,107
7/12/2018,-0.244331019,109
7/12/2018,-0.28120407,104
7/12/2018,-0.278901655,89
7/12/2018,-0.356485218,86
7/12/2018,-0.363704713,146
7/12/2018,-0.356485218,88
7/12/2018,-0.161128706,79
7/12/2018,-0.211350862,85
7/12/2018,-0.234834656,87
7/12/2018,-0.721469551,2
7/12/2018,-0.767561839,5
7/12/2018,-0.787088763,6
7/12/2018,-0.711653413,10
7/12/2018,-0.081027725,74
7/12/2018,-0.348446675,22
7/12/2018,-0.172482282,49
7/12/2018,-0.17222878,51
7/12/2018,-0.172482282,62
7/12/2018,-0.18904956,65
7/12/2018,-0.299912531,61
7/12/2018,-0.761389856,143
7/12/2018,-0.551275759,144
7/12/2018,-0.095702365,25
7/12/2018,-0.095702365,26
7/12/2018,-0.095702365,82
7/12/2018,-0.485064769,66
7/12/2018,-0.162007299,50
7/12/2018,-0.388759278,145
7/12/2018,-0.096126553,28
7/12/2018,-0.106843084,30
7/12/2018,-0.560951862,43
7/12/2018,-0.136769679,32
7/12/2018,-0.33371044,60
7/12/2018,-0.132975533,78
7/12/2018,-0.186993465,35
7/12/2018,-0.501319987,44
7/12/2018,-0.441014456,45
7/12/2018,-0.203740674,48
7/12/2018,-0.50601676,46
7/12/2018,-0.441395534,47
7/12/2018,-0.228601183,54
7/12/2018,-0.154822075,33
7/12/2018,-0.172482282,52
7/12/2018,-0.340867641,94
7/12/2018,-0.172482282,64
7/12/2018,-0.172482282,72
7/12/2018,-0.173397491,70
7/12/2018,-0.187181771,71
7/12/2018,-0.148375598,69
7/12/2018,-0.46768701,68
7/12/2018,-0.401989667,67
7/12/2018,-0.061660119,97
7/12/2018,-0.069431009,96
7/12/2018,-0.066421055,102
7/12/2018,-0.066545462,101
7/12/2018,-0.117289819,103
7/12/2018,-0.059311092,99
7/12/2018,-0.066269319,98
7/12/2018,-0.219931925,95
7/12/2018,-0.191738318,91
7/12/2018,-0.484432648,18
7/12/2018,-0.713899257,41
7/12/2018,-0.364091377,112
7/12/2018,-0.340240877,111
7/12/2018,-0.515755951,42
7/12/2018,-0.443340545,17
7/12/2018,-0.792251456,16
7/12/2018,-0.759623275,7
7/12/2018,-0.834551513,14
7/12/2018,-0.825709621,15
7/13/2018,-0.974616637,90
7/13/2018,-0.781792389,117
7/13/2018,-0.972942575,118
7/13/2018,-0.737804611,127
7/13/2018,-0.632228489,121
7/13/2018,-0.629499333,123
7/13/2018,-0.60313738,122
7/13/2018,-1.391175721,119
7/13/2018,-1.339828385,135
7/13/2018,-1.157906873,134
7/13/2018,-0.831668376,131
7/13/2018,-0.62516245,115
7/13/2018,-1.239262738,138
7/13/2018,-1.298747361,142
7/13/2018,-1.325279593,141
7/13/2018,-1.304902856,137
7/13/2018,-1.325119252,140
7/13/2018,-0.913533121,23
7/13/2018,-1.039706373,19
7/13/2018,-0.881495428,38
7/13/2018,-0.906771035,27
7/13/2018,-0.887925772,24
7/13/2018,-0.924249187,29
7/13/2018,-0.838168103,37
7/13/2018,-0.847887164,37
7/13/2018,-0.833705472,39
7/13/2018,-0.833802691,75
7/13/2018,-0.918975337,77
7/13/2018,-0.834437154,34
7/13/2018,-0.901823295,83
7/13/2018,-0.927630423,80
7/13/2018,-0.543788179,58
7/13/2018,-0.534732846,57
7/13/2018,-0.540971249,56
7/13/2018,-1.056083472,147
7/13/2018,-1.264218079,148
7/13/2018,-0.892856197,100
7/13/2018,-1.200827283,149
7/13/2018,-0.618880401,126
7/13/2018,-0.602688375,124
7/13/2018,-0.74851489,128
7/13/2018,-0.623263423,114
7/13/2018,-0.512065585,108
7/13/2018,-1.017288601,120
7/13/2018,-1.300134237,136
7/13/2018,-1.262276787,139
7/13/2018,-0.818194265,40
7/13/2018,-0.815930376,36
7/13/2018,-1.156555935,20
7/13/2018,-0.92233887,21
7/13/2018,-0.729714187,76
7/13/2018,-0.604251999,63
7/13/2018,-0.559075929,73
7/13/2018,-0.90075143,84
7/13/2018,-0.902191633,81
7/13/2018,-0.541101616,55
7/13/2018,-0.559160361,53
7/13/2018,-0.575770729,59
7/13/2018,-0.418175255,110
7/13/2018,-0.439172174,106
7/13/2018,-0.544996726,116
7/13/2018,-1.415303224,150
7/13/2018,-1.221044817,1
7/13/2018,-1.198627079,12
7/13/2018,-0.609751376,93
7/13/2018,-0.829633142,8
7/13/2018,-1.199468217,133
7/13/2018,-0.975087803,132
