Ward_No,date,mean
29,8/12/2018,-0.085312435
28,8/12/2018,-0.111772949
27,8/12/2018,-0.165719753
26,8/12/2018,-0.188076129
25,8/12/2018,-0.156948636
24,8/12/2018,-0.188680589
30,8/12/2018,-0.011179197
31,8/12/2018,0.038084569
32,8/12/2018,-0.003082599
77,8/12/2018,0.088713837
76,8/12/2018,-0.07033601
74,8/12/2018,0.103185377
72,8/12/2018,0.104321741
68,8/12/2018,0.079705962
67,8/12/2018,0.10014179
69,8/12/2018,2.07E-04
70,8/12/2018,0.075851664
71,8/12/2018,0.092684952
73,8/12/2018,0.104321741
75,8/12/2018,0.02266055
34,8/12/2018,-0.156735673
36,8/12/2018,-0.117793485
33,8/12/2018,-0.037797154
35,8/12/2018,-0.188743518
15,8/12/2018,0.05690768
16,8/12/2018,0.095099653
17,8/12/2018,0.10429228
18,8/12/2018,0.104321741
19,8/12/2018,0.101000912
20,8/12/2018,0.104321741
21,8/12/2018,0.104321741
22,8/12/2018,0.094855845
23,8/12/2018,-0.036432338
66,8/12/2018,0.104321741
63,8/12/2018,0.104321741
59,8/12/2018,0.104321741
56,8/12/2018,0.104321741
58,8/12/2018,0.104321741
57,8/12/2018,0.104321741
60,8/12/2018,0.104321741
62,8/12/2018,0.104321741
61,8/12/2018,0.104321741
65,8/12/2018,0.104321741
64,8/12/2018,0.104321741
48,8/12/2018,-0.062245388
47,8/12/2018,0.049879763
49,8/12/2018,-0.111713616
50,8/12/2018,0.104321741
52,8/12/2018,0.104321741
51,8/12/2018,0.104321741
54,8/12/2018,0.104321741
53,8/12/2018,0.104321741
55,8/12/2018,0.046657888
37,8/12/2018,-0.188680589
40,8/12/2018,-0.188680589
38,8/12/2018,-0.188680589
39,8/12/2018,-0.188677247
41,8/12/2018,-0.140515501
42,8/12/2018,-0.101842747
43,8/12/2018,0.069837873
45,8/12/2018,-0.070755224
46,8/12/2018,-0.026564497
44,8/12/2018,0.094927586
11,8/12/2018,-0.006183582
12,8/12/2018,0.02830077
13,8/12/2018,0.071450644
14,8/12/2018,-0.009351016
1,8/12/2018,-0.05362736
2,8/12/2018,-0.047832785
3,8/12/2018,-0.029484939
4,8/12/2018,-0.02640739
5,8/12/2018,0.021977874
6,8/12/2018,1.84E-04
7,8/12/2018,-0.011268896
9,8/12/2018,0.091444574
10,8/12/2018,0.043913846
8,8/12/2018,0.097229564
29,8/13/2018,-0.486948181
28,8/13/2018,-0.422351094
27,8/13/2018,-0.482104338
26,8/13/2018,-0.590858501
25,8/13/2018,-0.681753169
24,8/13/2018,-0.682436126
30,8/13/2018,-0.68923013
31,8/13/2018,-0.862433548
32,8/13/2018,-0.441583261
77,8/13/2018,0.217749012
76,8/13/2018,0.304881169
74,8/13/2018,0.378784001
72,8/13/2018,0.378784001
68,8/13/2018,-0.121548034
67,8/13/2018,0.089651629
69,8/13/2018,0.115300625
70,8/13/2018,0.375894458
71,8/13/2018,0.374618927
73,8/13/2018,0.378784001
75,8/13/2018,0.378784001
34,8/13/2018,0.23901178
36,8/13/2018,-0.481413712
33,8/13/2018,-0.370687013
35,8/13/2018,0.409358657
15,8/13/2018,-0.271391263
16,8/13/2018,-0.291866213
17,8/13/2018,-0.29147762
18,8/13/2018,-0.331021328
19,8/13/2018,-0.216131494
20,8/13/2018,-0.291866213
21,8/13/2018,-0.296226569
22,8/13/2018,-0.44351721
23,8/13/2018,-0.458564849
66,8/13/2018,-0.281564941
63,8/13/2018,-0.259202272
59,8/13/2018,0.378784001
56,8/13/2018,0.378784001
58,8/13/2018,0.378784001
57,8/13/2018,0.378784001
60,8/13/2018,0.278778965
62,8/13/2018,-0.167351862
61,8/13/2018,0.215091408
65,8/13/2018,0.27940103
64,8/13/2018,0.228654911
48,8/13/2018,0.697260772
47,8/13/2018,0.671327796
49,8/13/2018,0.558772188
50,8/13/2018,0.537260816
52,8/13/2018,0.378784001
51,8/13/2018,0.378784001
54,8/13/2018,0.378784001
53,8/13/2018,0.378784001
55,8/13/2018,0.378727729
37,8/13/2018,-0.688015415
40,8/13/2018,-0.695181727
38,8/13/2018,-0.64149113
39,8/13/2018,-0.654963862
41,8/13/2018,-0.695181727
42,8/13/2018,-0.695181727
43,8/13/2018,-0.597581088
45,8/13/2018,-0.691006709
46,8/13/2018,0.160501408
44,8/13/2018,-0.255647488
11,8/13/2018,-0.00720185
12,8/13/2018,0.097685075
13,8/13/2018,-0.020360361
14,8/13/2018,-0.346753806
1,8/13/2018,0.142472077
2,8/13/2018,-0.088711458
3,8/13/2018,0.169588432
4,8/13/2018,0.07177214
5,8/13/2018,-0.246862384
6,8/13/2018,-0.118367414
7,8/13/2018,-0.078202951
9,8/13/2018,-0.062651332
10,8/13/2018,0.051692162
8,8/13/2018,-0.27834656
29,8/14/2018,-0.719319131
28,8/14/2018,-0.60521352
27,8/14/2018,-0.597386176
26,8/14/2018,-0.594787968
25,8/14/2018,-0.627166721
24,8/14/2018,-0.57953757
30,8/14/2018,-0.847238719
31,8/14/2018,-0.842798543
32,8/14/2018,-0.825408674
77,8/14/2018,-0.993453707
76,8/14/2018,-1.179330207
74,8/14/2018,-0.970467773
72,8/14/2018,-0.932162151
68,8/14/2018,-0.632199407
67,8/14/2018,-0.634246287
69,8/14/2018,-0.662816377
70,8/14/2018,-0.702529153
71,8/14/2018,-0.822379754
73,8/14/2018,-0.971979797
75,8/14/2018,-0.971933128
34,8/14/2018,-1.020459911
36,8/14/2018,-0.739269341
33,8/14/2018,-0.803020433
35,8/14/2018,-0.958998578
15,8/14/2018,-0.631719333
16,8/14/2018,-0.608380058
17,8/14/2018,-0.623596288
18,8/14/2018,-0.610886761
19,8/14/2018,-0.582234576
20,8/14/2018,-0.583609704
21,8/14/2018,-0.58251005
22,8/14/2018,-0.583192278
23,8/14/2018,-0.584482286
66,8/14/2018,-0.632199407
63,8/14/2018,-0.631823864
59,8/14/2018,-0.767996912
56,8/14/2018,-0.967092829
58,8/14/2018,-0.880886312
57,8/14/2018,-0.884037142
60,8/14/2018,-0.632199407
62,8/14/2018,-0.632199407
61,8/14/2018,-0.632199407
65,8/14/2018,-0.632960067
64,8/14/2018,-0.632199407
48,8/14/2018,-1.079359323
47,8/14/2018,-1.002314476
49,8/14/2018,-1.051354711
50,8/14/2018,-0.811295248
52,8/14/2018,-0.79387136
51,8/14/2018,-0.797759493
54,8/14/2018,-0.959995706
53,8/14/2018,-0.920639469
55,8/14/2018,-0.989481757
37,8/14/2018,-0.638926467
40,8/14/2018,-0.579441974
38,8/14/2018,-0.843403803
39,8/14/2018,-0.825122376
41,8/14/2018,-0.591757768
42,8/14/2018,-0.578897352
43,8/14/2018,-0.581410748
45,8/14/2018,-0.792427951
46,8/14/2018,-0.872329572
44,8/14/2018,-0.669196911
11,8/14/2018,-0.671781261
12,8/14/2018,-0.790217561
13,8/14/2018,-0.571258743
14,8/14/2018,-0.650441541
1,8/14/2018,-0.767750073
2,8/14/2018,-0.760769242
3,8/14/2018,-0.72822473
