Ward_No,date,mean
93,7/11/2018,-1.517937176
61,7/11/2018,-1.410443489
86,7/11/2018,-1.491263285
90,7/11/2018,-1.499087968
26,7/11/2018,-1.375974298
72,7/11/2018,-1.521155209
134,7/11/2018,-1.763462663
99,7/11/2018,-1.647643704
125,7/11/2018,-1.303276727
118,7/11/2018,-1.482927217
83,7/11/2018,-1.521219015
43,7/11/2018,-1.376339105
47,7/11/2018,-1.381610025
115,7/11/2018,-1.57179873
68,7/11/2018,-1.463077164
39,7/11/2018,-1.375974298
12,7/11/2018,-1.375976595
108,7/11/2018,-1.49528171
110,7/11/2018,-1.793872993
141,7/11/2018,-1.743028878
17,7/11/2018,-1.375974298
7,7/11/2018,-1.375974298
16,7/11/2018,-1.375974298
137,7/11/2018,-1.763462663
84,7/11/2018,-1.521219015
18,7/11/2018,-1.375974298
25,7/11/2018,-1.375974298
60,7/11/2018,-1.417728417
10,7/11/2018,-1.375974298
62,7/11/2018,-1.383938267
71,7/11/2018,-1.50590414
91,7/11/2018,-1.44580698
75,7/11/2018,-1.413199787
96,7/11/2018,-1.536450182
88,7/11/2018,-1.521219015
44,7/11/2018,-1.376189365
85,7/11/2018,-1.512202346
89,7/11/2018,-1.521219015
67,7/11/2018,-1.44580698
76,7/11/2018,-1.42603354
74,7/11/2018,-1.512544772
87,7/11/2018,-1.521219015
132,7/11/2018,-1.269339022
69,7/11/2018,-1.489209396
22,7/11/2018,-1.378253072
119,7/11/2018,-1.463088591
54,7/11/2018,-1.378247557
122,7/11/2018,-1.44976762
29,7/11/2018,-1.375974298
109,7/11/2018,-1.680922327
32,7/11/2018,-1.378327491
57,7/11/2018,-1.470987982
136,7/11/2018,-1.763462663
106,7/11/2018,-1.445966021
4,7/11/2018,-1.378134755
52,7/11/2018,-1.388724966
38,7/11/2018,-1.375974298
81,7/11/2018,-1.520736058
127,7/11/2018,-1.165858628
53,7/11/2018,-1.378184313
34,7/11/2018,-1.376111888
135,7/11/2018,-1.763462663
117,7/11/2018,-1.521219015
105,7/11/2018,-1.44586092
20,7/11/2018,-1.375974298
102,7/11/2018,-1.571491453
46,7/11/2018,-1.393087707
73,7/11/2018,-1.520885097
82,7/11/2018,-1.521219015
124,7/11/2018,-1.374493035
56,7/11/2018,-1.392606438
3,7/11/2018,-1.378622193
36,7/11/2018,-1.375974298
41,7/11/2018,-1.375974298
37,7/11/2018,-1.375974298
139,7/11/2018,-1.754715409
23,7/11/2018,-1.375974298
40,7/11/2018,-1.375974298
121,7/11/2018,-1.389681129
33,7/11/2018,-1.396019263
103,7/11/2018,-1.518375806
13,7/11/2018,-1.376513112
66,7/11/2018,-1.44580698
123,7/11/2018,-1.266467258
63,7/11/2018,-1.429389413
21,7/11/2018,-1.375974298
49,7/11/2018,-1.375974298
70,7/11/2018,-1.508964305
45,7/11/2018,-1.403481999
100,7/11/2018,-1.956108364
92,7/11/2018,-1.457099269
9,7/11/2018,-1.375974298
114,7/11/2018,-1.862493681
101,7/11/2018,-1.766872253
138,7/11/2018,-1.760023478
31,7/11/2018,-1.378039034
104,7/11/2018,-1.450393339
5,7/11/2018,-1.377101957
126,7/11/2018,-1.252382804
14,7/11/2018,-1.376012663
111,7/11/2018,-1.978219258
130,7/11/2018,-1.257395387
19,7/11/2018,-1.375974298
78,7/11/2018,-1.486836225
27,7/11/2018,-1.375974298
98,7/11/2018,-1.727836536
6,7/11/2018,-1.431566781
2,7/11/2018,-1.465269316
59,7/11/2018,-1.441659022
131,7/11/2018,-1.257395387
42,7/11/2018,-1.376268998
129,7/11/2018,-1.257395387
51,7/11/2018,-1.376654512
120,7/11/2018,-1.36447986
8,7/11/2018,-1.375974298
1,7/11/2018,-1.564052772
80,7/11/2018,-1.515869326
55,7/11/2018,-1.382847183
64,7/11/2018,-1.443687785
107,7/11/2018,-1.445806996
77,7/11/2018,-1.473481042
28,7/11/2018,-1.375974298
112,7/11/2018,-1.974050049
133,7/11/2018,-1.763462663
65,7/11/2018,-1.447258209
24,7/11/2018,-1.375974298
128,7/11/2018,-1.255762053
50,7/11/2018,-1.375974298
113,7/11/2018,-1.935822058
94,7/11/2018,-1.521286785
79,7/11/2018,-1.451288004
11,7/11/2018,-1.375974298
15,7/11/2018,-1.375976696
140,7/11/2018,-1.746593972
97,7/11/2018,-1.542396586
48,7/11/2018,-1.375974298
35,7/11/2018,-1.37599491
116,7/11/2018,-1.50360767
95,7/11/2018,-1.522519054
30,7/11/2018,-1.376029996
58,7/11/2018,-1.48619914
93,7/12/2018,-1.140030102
61,7/12/2018,-1.601771593
86,7/12/2018,-1.591506859
90,7/12/2018,-1.377325708
26,7/12/2018,-1.521347379
72,7/12/2018,-1.601771593
134,7/12/2018,-1.754652384
99,7/12/2018,-1.093082428
125,7/12/2018,-1.226450931
118,7/12/2018,-1.529790243
83,7/12/2018,-1.601771593
43,7/12/2018,-1.591861747
47,7/12/2018,-1.601771593
115,7/12/2018,-1.093082428
68,7/12/2018,-1.580170882
39,7/12/2018,-1.593742739
12,7/12/2018,-1.6672014
108,7/12/2018,-0.997585267
110,7/12/2018,-1.093082428
141,7/12/2018,-0.946330531
17,7/12/2018,-1.569477212
7,7/12/2018,-1.656916755
16,7/12/2018,-1.51656242
137,7/12/2018,-1.392460423
84,7/12/2018,-1.601771593
18,7/12/2018,-1.520862106
25,7/12/2018,-1.517237646
60,7/12/2018,-1.601771593
10,7/12/2018,-1.609043228
62,7/12/2018,-1.601771593
71,7/12/2018,-1.601771593
91,7/12/2018,-1.273689876
75,7/12/2018,-1.601771593
96,7/12/2018,-1.093082428
88,7/12/2018,-1.561792015
44,7/12/2018,-1.594499993
85,7/12/2018,-1.601771593
89,7/12/2018,-1.323915203
67,7/12/2018,-1.440729592
76,7/12/2018,-1.601771593
74,7/12/2018,-1.601771593
