date,mean,month,year,week
2018-07-31,-0.23095169414583339,7,2018,31
2018-08-31,-0.010011631705357136,8,2018,35
2018-09-30,-0.8172473044080462,9,2018,39
2018-10-31,-0.8861621056192529,10,2018,44
2018-11-30,-0.8135484502270114,11,2018,48
2018-12-31,-0.8719668300244253,12,2018,1
2019-01-31,-0.7368719327231184,1,2019,5
2019-02-28,-0.7093583429866072,2,2019,9
2019-03-31,-0.5301608432586207,3,2019,13
2019-04-30,-0.5529056111875,4,2019,18
2019-05-31,-0.6194396238306451,5,2019,22
2019-06-30,-0.753052896329023,6,2019,26
2019-07-31,-0.8549378384123565,7,2019,31
2019-08-31,-0.818498450170699,8,2019,35
2019-09-30,-1.1236628365041665,9,2019,40
2019-10-31,-1.3098565251129033,10,2019,44
2019-11-30,-1.212808302513889,11,2019,48
2019-12-31,-1.2269947326451616,12,2019,1
2020-01-31,-1.3739485913454301,1,2020,5
2020-02-29,-1.297604853950617,2,2020,9
2020-03-31,-1.1166904478117816,3,2020,14
2020-04-30,-0.8079651431902776,4,2020,18
2020-05-31,-0.8763423486209676,5,2020,22
2020-06-30,-1.341822454534722,6,2020,27
2020-07-31,-1.2577836381532737,7,2020,31
2020-08-31,-1.1396948811155914,8,2020,36
2020-09-30,-1.5060537658611113,9,2020,40
2020-10-31,-1.3008351917403844,10,2020,44
