date,mean,Ward_No,month,year,week
2018-07-31,-0.5303186165366667,8,7,2018,31
2018-08-31,-0.3226670803190476,8,8,2018,35
2018-09-30,-1.051166306218391,8,9,2018,39
2018-10-31,-0.9303852392666666,8,10,2018,44
2018-11-30,-0.8745251874390806,8,11,2018,48
2018-12-31,-0.8408669425793105,8,12,2018,1
2019-01-31,-0.6345255595978495,8,1,2019,5
2019-02-28,-0.5830495506380953,8,2,2019,9
2019-03-31,-0.3574736113287358,8,3,2019,13
2019-04-30,-0.48701157310000004,8,4,2019,18
2019-05-31,-0.4404227017333333,8,5,2019,22
2019-06-30,-0.8084138145701147,8,6,2019,26
2019-07-31,-1.0465626567747126,8,7,2019,31
2019-08-31,-0.9313285152236558,8,8,2019,35
2019-09-30,-1.3704252424399999,8,9,2019,40
2019-10-31,-1.3224174677440863,8,10,2019,44
2019-11-30,-1.3215287106444447,8,11,2019,48
2019-12-31,-1.2949502880989243,8,12,2019,1
2020-01-31,-1.2774468768989247,8,1,2020,5
2020-02-29,-1.2638508739555556,8,2,2020,9
2020-03-31,-1.034578342016092,8,3,2020,14
2020-04-30,-0.8906644291622225,8,4,2020,18
2020-05-31,-0.7980391557591396,8,5,2020,22
2020-06-30,-1.3675371471822222,8,6,2020,27
2020-07-31,-1.4225765063047615,8,7,2020,31
2020-08-31,-1.3037297824064515,8,8,2020,36
2020-09-30,-1.6170104541066666,8,9,2020,40
2020-10-31,-1.6878522339846154,8,10,2020,44
