date,Ward_No,mean,month,year,week
2018-07-31,43.38372093023257,-0.3695635842406977,7,2018,31
2018-08-31,44.44144518272427,-0.5755705415067828,8,2018,35
2018-09-30,43.38372093023258,-0.9519755352550119,9,2018,39
2018-10-31,43.38372093023258,-0.6908225633970101,10,2018,44
2018-11-30,43.38372093023258,-0.7338082534542635,11,2018,48
2018-12-31,43.38372093023258,-0.8697502608147554,12,2018,1
2019-01-31,43.38372093023258,-0.7883151742364339,1,2019,5
2019-02-28,43.38372093023258,-0.8045140017717486,2,2019,9
2019-03-31,43.38372093023258,-0.4902428678468326,3,2019,13
2019-04-30,43.38372093023258,-0.3026036038139533,4,2019,18
2019-05-31,43.38372093023258,-0.26606123867516873,5,2019,22
2019-06-30,43.38372093023258,-0.7461688897582197,6,2019,26
2019-07-31,43.38372093023258,-0.9139174546736168,7,2019,31
2019-08-31,43.38372093023258,-0.9789855744039759,8,2019,35
2019-09-30,43.38372093023258,-1.1440238528356588,9,2019,40
2019-10-31,43.38372093023258,-1.379109698699925,10,2019,44
2019-11-30,43.38372093023258,-1.255966536247631,11,2019,48
2019-12-31,43.38372093023258,-1.3199841164497372,12,2019,1
2020-01-31,43.38372093023258,-1.2323103194819953,1,2020,5
2020-02-29,43.38372093023258,-1.365934712877261,2,2020,9
2020-03-31,43.38372093023258,-1.0872199696776266,3,2020,14
2020-04-30,43.38372093023258,-0.7034253812593022,4,2020,18
2020-05-31,43.38372093023258,-0.6347312632321829,5,2020,22
2020-06-30,43.38372093023258,-1.2815833601768245,6,2020,27
2020-07-31,43.38372093023258,-1.5258580330292846,7,2020,31
2020-08-31,43.38372093023258,-1.3447813081646667,8,2020,36
2020-09-30,43.38372093023258,-1.711059119238372,9,2020,40
2020-10-31,43.38372093023257,-1.4541517036985687,10,2020,44
