date,Ahmedabad,Bangalore,Bhopal,Bhubaneshwar,Chennai,Delhi,Hyderabad,Jaipur,Kolkata,Mumbai,Pune
7/31/2018,-0.272512647,-0.526088674,-0.369563584,-0.703230864,-0.451563775,-0.663148568,-0.429573688,-0.447509606,-0.707227302,-0.230951694,-0.530318617
8/31/2018,-0.034694407,-0.352059751,-0.575570542,-0.896833796,-0.394543032,-0.443315221,-0.466091953,-0.631050123,-0.949131835,-0.010011632,-0.32266708
9/30/2018,-0.37038729,-0.896221162,-0.951975535,-1.137284881,-1.024135227,-0.571261598,-0.847232682,-0.489336216,-0.908497518,-0.817247304,-1.051166306
10/31/2018,-0.306469227,-0.838346152,-0.690822563,-1.032741385,-0.908297495,-0.002490251,-0.906354531,-0.168761704,-0.665267665,-0.886162106,-0.930385239
11/30/2018,-0.377477767,-0.894373147,-0.733808253,-0.822290587,-0.959690818,-0.020089599,-0.854808659,-0.34435789,-0.551560473,-0.81354845,-0.874525187
12/31/2018,-0.556382695,-0.883545368,-0.869750261,-0.74994195,-0.835268295,-0.482041197,-0.821459851,-0.613433201,-0.49635325,-0.87196683,-0.840866943
1/31/2019,-0.541950296,-0.757676702,-0.788315174,-0.782054092,-1.086505412,-0.556796962,-0.651179712,-0.566074547,-0.544973704,-0.736871933,-0.63452556
2/28/2019,-0.419197316,-0.779185092,-0.804514002,-0.937741856,-1.026027185,-0.791630621,-0.750785384,-0.699967511,-0.787094027,-0.709358343,-0.583049551
3/31/2019,-0.023347687,-0.686137112,-0.490242868,-0.757100372,-0.789033116,-0.588250252,-0.545512389,-0.407563245,-0.668884167,-0.530160843,-0.357473611
4/30/2019,-0.038467651,-0.931534781,-0.302603604,-0.511579026,-0.848446125,-0.072746055,-0.497387553,0.022339749,-0.395128641,-0.552905611,-0.487011573
5/31/2019,0.194117241,-0.950258656,-0.266061239,-0.569887973,-0.789804454,0.152675514,-0.569149007,0.103095048,-0.307695156,-0.619439624,-0.440422702
6/30/2019,-0.465616781,-0.891791025,-0.74616889,-0.999943936,-1.003629987,-0.12873609,-0.827007909,-0.18266735,-0.913195517,-0.753052896,-0.808413815
7/31/2019,-0.58042148,-1.229068865,-0.913917455,-1.196386353,-1.043639414,-0.291016482,-0.952975303,-0.614205295,-1.132202275,-0.854937838,-1.046562657
8/31/2019,-0.814681833,-0.990269317,-0.978985574,-1.180346719,-1.084301504,-1.154463499,-0.907017259,-1.113398467,-1.114812942,-0.81849845,-0.931328515
9/30/2019,-1.078681276,-1.190238145,-1.144023853,-1.351919014,-1.287681483,-1.194057452,-1.135116333,-1.251818737,-1.137448579,-1.123662837,-1.370425242
10/31/2019,-0.937021563,-1.199320957,-1.379109699,-1.408678996,-1.29887187,-0.586022157,-1.175787551,-0.845664638,-1.233952621,-1.309856525,-1.322417468
11/30/2019,-0.915723922,-1.124885723,-1.255966536,-1.186789748,-1.191303168,-0.431689255,-1.22252646,-0.913613658,-0.979649179,-1.212808303,-1.321528711
12/31/2019,-1.029204453,-1.205625941,-1.319984116,-1.271792529,-1.272869132,-0.855821112,-1.260016078,-1.047329267,-1.080979994,-1.226994733,-1.294950288
1/31/2020,-1.061141855,-1.153852147,-1.232310319,-1.287722582,-1.389313454,-1.196752924,-1.222197249,-1.048573564,-1.030117687,-1.373948591,-1.277446877
2/29/2020,-0.901513372,-1.109373715,-1.365934713,-1.325550401,-1.43209344,-1.177690364,-1.120684749,-1.073807009,-1.163747856,-1.297604854,-1.263850874
3/31/2020,-0.455646916,-1.132284897,-1.08721997,-1.343705949,-1.317882841,-0.992438531,-1.179450858,-0.848679506,-1.12510866,-1.116690448,-1.034578342
4/30/2020,-0.179722891,-1.269941142,-0.703425381,-0.976071363,-1.201164967,-0.798233127,-0.904361143,-0.621244047,-0.844051254,-0.807965143,-0.890664429
5/31/2020,0.071648929,-1.103256676,-0.634731263,-1.020303399,-1.150319959,-0.389843751,-0.799517487,-0.288059024,-0.977215213,-0.876342349,-0.798039156
6/30/2020,-0.866443598,-1.445785983,-1.28158336,-1.424317132,-1.341817146,-0.616305694,-1.298940149,-0.589861597,-1.23750207,-1.341822455,-1.367537147
7/31/2020,-1.101466467,-1.319037651,-1.525858033,-1.370636062,-1.300748581,-1.215383855,-1.320480877,-1.093898315,-1.331881642,-1.257783638,-1.422576506
8/31/2020,-1.115575527,-1.207018148,-1.344781308,-1.490261477,-1.43091594,-1.31963009,-1.186976093,-1.286629481,-1.293540809,-1.139694881,-1.303729782
9/30/2020,-1.250078904,-1.396423342,-1.711059119,-1.658433049,-1.479595122,-1.310521867,-1.352885027,-1.263736693,-1.567887474,-1.506053766,-1.617010454
10/31/2020,-0.998467204,-1.51825539,-1.454151704,-1.108497276,-1.552375496,-0.852398282,-1.382430109,-0.905926349,-1.465434828,-1.300835192,-1.687852234
