date,Ward_No,mean
11/26/2019,12,-1.692171228
11/26/2019,13,-1.830273483
11/26/2019,14,-1.486130872
11/26/2019,15,-1.747328249
11/26/2019,16,-1.648020682
11/26/2019,17,-1.580193746
11/26/2019,18,-1.418388735
11/26/2019,19,-1.412951461
11/26/2019,20,-1.69643992
11/26/2019,21,-1.6557499
11/26/2019,1,-1.567759161
11/26/2019,2,-1.548342342
11/26/2019,3,-1.539561823
11/26/2019,4,-1.550092142
11/26/2019,5,-1.553618351
11/26/2019,6,-1.580430929
11/26/2019,7,-1.533453664
11/26/2019,8,-1.531204319
11/26/2019,9,-1.460805809
11/26/2019,10,-1.602403922
11/26/2019,11,-1.825192376
11/26/2019,22,-1.706204158
11/26/2019,23,-1.409771752
11/26/2019,24,-1.491873163
11/27/2019,12,-1.073966666
11/27/2019,13,-1.209841587
11/27/2019,14,-0.984587127
11/27/2019,15,-1.238679898
11/27/2019,16,-1.00287626
11/27/2019,17,-0.983915343
11/27/2019,18,-0.955570153
11/27/2019,19,-0.968638889
11/27/2019,20,-1.051319234
11/27/2019,21,-1.033205855
11/27/2019,1,-0.925610085
11/27/2019,2,-0.921325439
11/27/2019,3,-0.921637602
11/27/2019,4,-0.928006809
11/27/2019,5,-0.928576883
11/27/2019,6,-0.958947247
11/27/2019,7,-0.92852255
11/27/2019,8,-0.984558965
11/27/2019,9,-0.944522756
11/27/2019,10,-1.029174043
11/27/2019,11,-1.179867761
11/27/2019,22,-1.15446599
11/27/2019,23,-0.928904389
11/27/2019,24,-0.977905791
11/28/2019,12,-0.5164654
11/28/2019,13,-0.633697011
11/28/2019,14,-0.430468816
11/28/2019,15,-0.688093506
11/28/2019,16,-0.497462604
11/28/2019,17,-0.514369226
11/28/2019,18,-0.416461616
11/28/2019,19,-0.419653601
11/28/2019,20,-0.538447117
11/28/2019,21,-0.572252014
11/28/2019,1,-0.457162331
11/28/2019,2,-0.457329419
11/28/2019,3,-0.457197945
11/28/2019,4,-0.457182057
11/28/2019,5,-0.482572932
11/28/2019,6,-0.582640625
11/28/2019,7,-0.43565062
11/28/2019,8,-0.507459919
11/28/2019,9,-0.433693924
11/28/2019,10,-0.434610863
11/28/2019,11,-0.63627724
11/28/2019,22,-0.671753228
11/28/2019,23,-0.407068212
11/28/2019,24,-0.45724896
11/29/2019,12,-0.707476462
11/29/2019,13,-0.617407591
11/29/2019,14,-0.815668202
11/29/2019,15,-0.740647733
11/29/2019,16,-0.899556294
11/29/2019,17,-0.890624469
11/29/2019,18,-0.905461779
11/29/2019,19,-0.733768599
11/29/2019,20,-0.680664345
11/29/2019,21,-0.780595928
11/29/2019,1,-0.969108266
11/29/2019,2,-0.946198642
11/29/2019,3,-0.946198642
11/29/2019,4,-0.947632632
11/29/2019,5,-0.951456877
11/29/2019,6,-0.957666674
11/29/2019,7,-0.971861905
11/29/2019,8,-0.9003082
11/29/2019,9,-0.973490333
11/29/2019,10,-0.849189651
11/29/2019,11,-0.762448305
11/29/2019,22,-0.772337127
11/29/2019,23,-0.98472375
11/29/2019,24,-0.818246387
11/30/2019,12,-0.994018222
11/30/2019,13,-1.011640615
11/30/2019,14,-0.64221735
11/30/2019,15,-0.823600905
11/30/2019,16,-0.883531503
11/30/2019,17,-0.87489414
11/30/2019,18,-0.825903748
11/30/2019,19,-0.804298441
11/30/2019,20,-0.876897085
11/30/2019,21,-0.895109988
11/30/2019,1,-1.187148624
11/30/2019,2,-1.111483185
11/30/2019,3,-1.108255053
11/30/2019,4,-1.119409241
11/30/2019,5,-1.103144158
11/30/2019,6,-1.017374971
11/30/2019,7,-1.073250291
11/30/2019,8,-0.944302005
11/30/2019,9,-0.934222687
11/30/2019,10,-0.847068072
11/30/2019,11,-0.964665964
11/30/2019,22,-0.972131772
11/30/2019,23,-0.852913465
11/30/2019,24,-0.835150459
12/1/2019,12,-2.162580337
12/1/2019,13,-2.056701959
12/1/2019,14,-1.634075926
12/1/2019,15,-1.654792704
12/1/2019,16,-2.076510988
12/1/2019,17,-1.85549956
12/1/2019,18,-1.578533906
12/1/2019,19,-1.681010262
12/1/2019,20,-1.77491599
12/1/2019,21,-1.824627328
12/1/2019,1,-1.849279267
12/1/2019,2,-1.871558382
12/1/2019,3,-1.80270074
12/1/2019,4,-1.797910325
12/1/2019,5,-1.792927163
12/1/2019,6,-1.813084932
12/1/2019,7,-1.756983983
12/1/2019,8,-1.67914202
