date,Ward_No,mean
7/11/2018,12,-0.120584632
7/11/2018,13,-0.16655207
7/11/2018,14,-0.4157375170000001
7/11/2018,15,-0.414234127
7/11/2018,16,-0.323975269
7/11/2018,17,-0.360617697
7/11/2018,18,-0.34991880700000005
7/11/2018,19,-0.288370083
7/11/2018,20,-0.375150166
7/11/2018,21,-0.425341464
7/11/2018,1,-0.275047916
7/11/2018,2,-0.13592423
7/11/2018,3,-0.11566761099999999
7/11/2018,4,-0.073061454
7/11/2018,5,-0.15408353800000002
7/11/2018,6,-0.35730752200000004
7/11/2018,7,-0.235230827
7/11/2018,8,-0.43101547100000004
7/11/2018,9,-0.41784056799999997
7/11/2018,10,-0.155404966
7/11/2018,11,-0.424236909
7/11/2018,22,-0.398932235
7/11/2018,23,-0.346493719
7/11/2018,24,-0.244492039
7/12/2018,12,-0.690279715
7/12/2018,13,-0.624622529
7/12/2018,14,-0.811242837
7/12/2018,15,-0.756514837
7/12/2018,16,-0.85450239
7/12/2018,17,-0.9116144959999999
7/12/2018,18,-0.860040218
7/12/2018,19,-0.782074976
7/12/2018,20,-0.7192077840000001
7/12/2018,21,-0.771303101
7/12/2018,1,-0.9327703690000001
7/12/2018,2,-0.9617620109999999
7/12/2018,3,-0.938103791
7/12/2018,4,-0.922565827
7/12/2018,5,-0.9614716459999999
7/12/2018,6,-0.953685488
7/12/2018,7,-0.96148001
7/12/2018,8,-0.9439162040000001
7/12/2018,9,-0.937175497
7/12/2018,10,-0.744549992
7/12/2018,11,-0.765020943
7/12/2018,22,-0.743139662
7/12/2018,23,-0.876460427
7/12/2018,24,-0.784890083
7/13/2018,12,-0.374116227
7/13/2018,13,-0.417283625
7/13/2018,14,-0.283547366
7/13/2018,15,-1.048981868
7/13/2018,16,-0.7495404
7/13/2018,17,-0.583464523
7/13/2018,18,-0.41743216
7/13/2018,19,-0.22879179
7/13/2018,20,-0.3737272170000001
7/13/2018,21,-0.6527891720000001
7/13/2018,1,-0.73935187
7/13/2018,2,-0.534994062
7/13/2018,3,-0.559146198
7/13/2018,4,-0.674791549
7/13/2018,5,-0.508083209
7/13/2018,6,-0.538864213
7/13/2018,7,-0.51647994
7/13/2018,8,-0.50187819
7/13/2018,9,-0.465471653
7/13/2018,10,-0.50519782
7/13/2018,11,-0.866737165
7/13/2018,22,-0.538152348
7/13/2018,23,-0.480562124
7/13/2018,24,-0.416976987
7/14/2018,12,-0.911161468
7/14/2018,13,-0.940669732
7/14/2018,14,-0.835150374
7/14/2018,15,-0.896170777
7/14/2018,16,-0.38525096
7/14/2018,17,-0.5732258610000001
7/14/2018,18,-0.856605026
7/14/2018,19,-0.785977033
7/14/2018,20,-0.8232041309999999
7/14/2018,21,-0.8116277270000001
7/14/2018,1,-0.550106826
7/14/2018,2,-0.456232335
7/14/2018,3,-0.459422311
7/14/2018,4,-0.45490509
7/14/2018,5,-0.45489475100000004
7/14/2018,6,-0.4492774020000001
7/14/2018,7,-0.535002216
7/14/2018,8,-0.6108607770000001
7/14/2018,9,-0.798822542
7/14/2018,10,-0.860615365
7/14/2018,11,-0.8519328070000001
7/14/2018,22,-0.9003658459999999
7/14/2018,23,-0.8210024859999999
7/14/2018,24,-0.8507956190000001
7/15/2018,12,-0.4288275720000001
7/15/2018,13,-0.419728859
7/15/2018,14,-0.517879484
7/15/2018,15,-0.23806075100000001
7/15/2018,16,-0.289937056
7/15/2018,17,-0.329950138
7/15/2018,18,-0.434454481
7/15/2018,19,-0.410993148
7/15/2018,20,-0.441150991
7/15/2018,21,-0.442595568
7/15/2018,1,-0.187404517
7/15/2018,2,-0.258744627
7/15/2018,3,-0.257161342
7/15/2018,4,-0.258730065
7/15/2018,5,-0.258744627
7/15/2018,6,-0.338813969
7/15/2018,7,-0.34479333700000003
7/15/2018,8,-0.37580098799999995
7/15/2018,9,-0.4460750670000001
7/15/2018,10,-0.39090144
7/15/2018,11,-0.315022772
7/15/2018,22,-0.28856752
7/15/2018,23,-0.491891158
7/15/2018,24,-0.39000586299999995
7/16/2018,12,-0.175701303
7/16/2018,13,-0.200305865
7/16/2018,14,-0.17210777800000002
7/16/2018,15,-0.29424315
7/16/2018,16,-0.216171472
7/16/2018,17,-0.212113987
7/16/2018,18,-0.226365493
