date,mean,Ward_No
7/11/2018,-0.797226188,5
7/11/2018,-0.499734659,6
7/11/2018,-0.693467914,7
7/11/2018,-0.72378028,8
7/11/2018,-0.32969165,9
7/11/2018,-0.625775369,10
7/11/2018,-0.628275697,11
7/11/2018,-0.700328003,12
7/11/2018,-0.84353916,13
7/11/2018,-0.497718043,14
7/11/2018,-0.710541542,15
7/11/2018,-0.63718027,1
7/11/2018,-0.766466311,2
7/11/2018,-0.478620457,3
7/11/2018,-0.23427112,4
7/12/2018,-0.728667041,5
7/12/2018,-1.075085294,6
7/12/2018,-1.019927657,7
7/12/2018,-0.869304319,8
7/12/2018,-0.94318478,9
7/12/2018,-0.870206077,10
7/12/2018,-0.894668275,11
7/12/2018,-0.829575737,12
7/12/2018,-0.690839097,13
7/12/2018,-1.158909123,14
7/12/2018,-0.859440849,15
7/12/2018,-0.810708647,1
7/12/2018,-0.896621707,2
7/12/2018,-0.801847399,3
7/12/2018,-0.808801598,4
7/13/2018,-0.910826381,5
7/13/2018,-0.830677465,6
7/13/2018,-0.778148887,7
7/13/2018,-0.873839726,8
7/13/2018,-0.783580164,9
7/13/2018,-0.876991673,10
7/13/2018,-0.822615701,11
7/13/2018,-0.807688586,12
7/13/2018,-0.687028701,13
7/13/2018,-0.536977298,14
7/13/2018,-0.674040443,15
7/13/2018,-0.939905405,1
7/13/2018,-1.014342692,2
7/13/2018,-0.846789951,3
7/13/2018,-0.730263077,4
7/14/2018,-1.618184814,5
7/14/2018,-1.813861341,6
7/14/2018,-1.721166084,7
7/14/2018,-1.57316979,8
7/14/2018,-1.673741752,9
7/14/2018,-1.603183494,10
7/14/2018,-1.538696982,11
7/14/2018,-1.521037865,12
7/14/2018,-1.663256237,13
7/14/2018,-1.620638604,14
7/14/2018,-1.606529973,15
7/14/2018,-1.821313118,1
7/14/2018,-1.886689017,2
7/14/2018,-1.827356522,3
7/14/2018,-1.687708592,4
7/15/2018,-0.970575828,5
7/15/2018,-0.875943327,6
7/15/2018,-0.874736723,7
7/15/2018,-1.072335292,8
7/15/2018,-1.089802717,9
7/15/2018,-1.063295642,10
7/15/2018,-1.105590674,11
7/15/2018,-1.068239852,12
7/15/2018,-0.910151421,13
7/15/2018,-1.134288456,14
7/15/2018,-1.077885149,15
7/15/2018,-0.974180356,1
7/15/2018,-1.083341437,2
7/15/2018,-1.088885818,3
7/15/2018,-1.102679119,4
7/16/2018,-0.433584531,5
7/16/2018,-0.425833862,6
7/16/2018,-0.466441197,7
7/16/2018,-0.317810228,8
7/16/2018,-0.270610712,9
7/16/2018,-0.291110218,10
7/16/2018,-0.291110218,11
7/16/2018,-0.308536192,12
7/16/2018,-0.450510938,13
7/16/2018,-0.420107269,14
7/16/2018,-0.38941076,15
7/16/2018,-0.428029562,1
7/16/2018,-0.373324001,2
7/16/2018,-0.317265701,3
7/16/2018,-0.250893618,4
7/17/2018,0.017954475,5
7/17/2018,-0.991284141,6
7/17/2018,-0.706790968,7
7/17/2018,-0.171218155,8
7/17/2018,-0.369396291,9
7/17/2018,-0.256700931,10
7/17/2018,-0.008682019,11
7/17/2018,0.10683841,12
7/17/2018,-0.232629031,13
7/17/2018,-0.135993245,14
7/17/2018,-0.026767026,15
7/17/2018,-0.711096457,1
7/17/2018,-0.49090037,2
7/17/2018,-0.45789866,3
7/17/2018,-0.46285942,4
7/19/2018,-0.87442757,5
7/19/2018,-0.883114523,6
7/19/2018,-0.628490734,7
7/19/2018,-0.573689036,8
7/19/2018,-0.649079765,9
7/19/2018,-0.722134635,10
7/19/2018,-0.858795322,11
7/19/2018,-0.926996103,12
7/19/2018,-0.909006547,13
7/19/2018,-0.767328204,14
7/19/2018,-0.950358724,15
7/19/2018,-1.163739882,1
7/19/2018,-0.561574198,2
7/19/2018,-0.523193687,3
7/19/2018,-0.534377922,4
7/20/2018,-1.528163674,5
7/20/2018,-1.330103452,6
7/20/2018,-1.48087255,7
7/20/2018,-1.529774904,8
7/20/2018,-1.438936912,9
7/20/2018,-1.529574106,10
7/20/2018,-1.507287454,11
7/20/2018,-1.529774904,12
7/20/2018,-1.470999067,13
7/20/2018,-1.477784338,14
7/20/2018,-1.485183665,15
7/20/2018,-1.112035381,1
7/20/2018,-1.438551129,2
7/20/2018,-1.275436159,3
7/20/2018,-1.383919375,4
7/21/2018,-0.438795271,5
7/21/2018,-0.69390978,6
7/21/2018,-0.67435797,7
7/21/2018,-0.38662219,8
7/21/2018,-0.403509931,9
7/21/2018,-0.339609121,10
7/21/2018,-0.194600078,11
7/21/2018,-0.38662219,12
7/21/2018,-0.328235883,13
7/21/2018,-0.091471062,14
7/21/2018,-0.191899142,15
7/21/2018,-0.561051192,1
7/21/2018,-0.432909675,2
7/21/2018,-0.431851089,3
7/21/2018,-0.429896097,4
7/22/2018,-0.000544,5
7/22/2018,0.058624396,6
7/22/2018,0.056003574,7
7/22/2018,0.029789535,8
7/22/2018,0.004661414,9
7/22/2018,0.022093756,10
7/22/2018,-0.082087235,11
7/22/2018,-0.006081987,12
7/22/2018,-0.052448975,13
7/22/2018,-0.244298871,14
7/22/2018,-0.100508855,15
7/22/2018,0.214014199,1
7/22/2018,0.046977577,2
7/22/2018,0.171662455,3
7/22/2018,0.163573426,4
7/23/2018,0.070452701,5
7/23/2018,0.145981455,6
7/23/2018,0.101082003,7
7/23/2018,0.02476193,8
7/23/2018,0.065327083,9
7/23/2018,0.020282988,10
7/23/2018,-0.03712865,11
7/23/2018,0.046051231,12
7/23/2018,-0.04606572,13
7/23/2018,0.016289715,14
7/23/2018,-0.056024355,15
7/23/2018,-0.014078067,1
7/23/2018,0.020008471,2
7/23/2018,0.0154912,3
7/23/2018,0.016274903,4
7/24/2018,-0.210479817,5
7/24/2018,-0.197140282,6
7/24/2018,-0.239131791,7
7/24/2018,-0.188362308,8
7/24/2018,-0.145890112,9
7/24/2018,-0.186270505,10
7/24/2018,-0.198400482,11
7/24/2018,-0.188579768,12
7/24/2018,-0.469823475,13
7/24/2018,-0.28264741,14
7/24/2018,-0.29345175,15
7/24/2018,-0.205758725,1
7/24/2018,-0.160176741,2
7/24/2018,-0.133003452,3
7/24/2018,-0.12808549,4
7/25/2018,-0.891705497,5
7/25/2018,-1.070556808,6
7/25/2018,-0.992850614,7
7/25/2018,-0.957089667,8
7/25/2018,-0.978049887,9
7/25/2018,-0.943883931,10
7/25/2018,-0.871141205,11
7/25/2018,-0.837360538,12
7/25/2018,-0.666073772,13
7/25/2018,-0.933702961,14
7/25/2018,-0.733093029,15
7/25/2018,-1.332346948,1
7/25/2018,-1.238190085,2
7/25/2018,-1.323944756,3
7/25/2018,-1.032137112,4
7/26/2018,-0.368945717,5
7/26/2018,-0.42607882,6
7/26/2018,-0.344997078,7
7/26/2018,-0.47126124,8
7/26/2018,-0.470002699,9
7/26/2018,-0.472612292,10
7/26/2018,-0.451439767,11
7/26/2018,-0.452771747,12
7/26/2018,-0.386559134,13
7/26/2018,-0.461983215,14
7/26/2018,-0.405993891,15
7/26/2018,-0.441922109,1
7/26/2018,-0.447562608,2
7/26/2018,-0.469878546,3
7/26/2018,-0.472612292,4
7/27/2018,0.292827522,5
7/27/2018,0.25980436,6
7/27/2018,0.349212361,7
7/27/2018,0.28168743,8
7/27/2018,0.276214645,9
7/27/2018,0.243930505,10
7/27/2018,0.258038036,11
7/27/2018,0.275304224,12
7/27/2018,0.251491109,13
7/27/2018,0.282782875,14
7/27/2018,0.29050033,15
7/27/2018,0.436487535,1
7/27/2018,0.306188718,2
7/27/2018,0.394670146,3
7/27/2018,0.307151139,4
7/28/2018,-0.397983426,5
7/28/2018,-0.345363878,6
7/28/2018,-0.029800852,7
7/28/2018,-0.547392041,8
7/28/2018,0.799454973,9
7/28/2018,0.22199747,10
7/28/2018,-0.05812891,11
7/28/2018,-0.503159833,12
7/28/2018,-0.541077017,13
7/28/2018,0.444770697,14
7/28/2018,-0.408681523,15
7/28/2018,-0.274479955,1
7/28/2018,-0.468027914,2
7/28/2018,-0.046115049,3
7/28/2018,0.653915062,4
7/29/2018,-0.526377611,5
7/29/2018,-0.947739319,6
7/29/2018,-1.026612849,7
7/29/2018,-0.882782791,8
7/29/2018,-1.100191051,9
7/29/2018,-0.955805531,10
7/29/2018,-0.898122401,11
7/29/2018,-0.893446463,12
7/29/2018,-0.195246868,13
7/29/2018,-0.9216167,14
7/29/2018,-0.561856393,15
7/29/2018,-0.862748531,1
7/29/2018,-0.797055744,2
7/29/2018,-0.827401562,3
7/29/2018,-1.068311514,4
7/30/2018,-0.751051693,5
7/30/2018,-0.562566317,6
7/30/2018,-0.8320319,7
7/30/2018,-0.279276375,8
7/30/2018,-0.426456403,9
7/30/2018,-0.582239833,10
7/30/2018,-1.180244867,11
7/30/2018,-0.279804034,12
7/30/2018,-1.618847867,13
7/30/2018,-1.250749268,14
7/30/2018,-1.211618465,15
7/30/2018,-0.013390006,1
7/30/2018,-0.271426838,2
7/30/2018,-0.284136361,3
7/30/2018,-0.288120564,4
7/31/2018,0.778124678,5
7/31/2018,1.029637908,6
7/31/2018,0.818586956,7
7/31/2018,0.509918288,8
7/31/2018,0.352928352,9
7/31/2018,0.384402106,10
7/31/2018,0.612923856,11
7/31/2018,0.503271461,12
7/31/2018,0.806235992,13
7/31/2018,0.66873512,14
7/31/2018,0.749795164,15
7/31/2018,0.537905579,1
7/31/2018,0.552500901,2
7/31/2018,0.237783117,3
7/31/2018,0.125169555,4
8/1/2018,1.33647602,5
8/1/2018,1.326243351,6
8/1/2018,1.405957646,7
8/1/2018,1.038891354,8
8/1/2018,0.860003888,9
8/1/2018,0.832952738,10
8/1/2018,0.840126532,11
8/1/2018,0.97104374,12
8/1/2018,0.96571201,13
8/1/2018,0.814654636,14
8/1/2018,0.935041963,15
8/1/2018,0.970699659,1
8/1/2018,1.42089391,2
8/1/2018,0.887493102,3
8/1/2018,0.843825009,4
8/2/2018,-0.187487432,5
8/2/2018,0.122292318,6
8/2/2018,0.289258586,7
8/2/2018,-0.588697802,8
