date,mean,Ward_No,month,year,week
2018-07-16,-0.6420071979373133,34.0,7.0,2018.0,29
2018-07-23,-0.6470622717039798,34.0,7.0,2018.0,30
2018-07-30,-0.8510473187206823,34.0,7.0,2018.0,31
2018-08-06,-0.41206560426439215,34.0,7.857142857142857,2018.0,32
2018-08-13,-1.297045112977612,34.0,8.0,2018.0,33
2018-08-20,-0.989389902409382,34.0,8.0,2018.0,34
2018-08-27,-0.9539198777761194,34.0,8.0,2018.0,35
2018-09-03,-1.1961695414004978,34.0,8.5,2018.0,36
2018-09-10,-0.7434074620511728,34.0,9.0,2018.0,37
2018-09-17,-1.2005305231215353,34.0,9.0,2018.0,38
2018-09-24,-1.1236722060348254,34.0,9.0,2018.0,39
2018-10-01,-1.2458760188869935,34.0,9.142857142857142,2018.0,40
2018-10-08,-1.2053301287139304,34.0,10.0,2018.0,41
2018-10-15,-1.2748038212622603,34.0,10.0,2018.0,42
2018-10-22,-0.9415842995607674,34.0,10.0,2018.0,43
2018-10-29,-0.7223060388258706,34.0,10.0,2018.0,44
2018-11-05,-1.151221990360341,34.0,10.714285714285714,2018.0,45
2018-11-12,-0.6697970639317699,34.0,11.0,2018.0,46
2018-11-19,-0.8838065615796019,34.0,11.0,2018.0,47
2018-11-26,-0.8072329567761194,34.0,11.0,2018.0,48
2018-12-03,-0.6829052771876333,34.0,11.428571428571429,2018.0,49
2018-12-10,-0.690259978226368,34.0,12.0,2018.0,50
2018-12-17,-0.559695136363184,34.0,12.0,2018.0,51
2018-12-24,-0.9176680297313433,34.0,12.0,2018.0,52
2018-12-31,-0.8061750760319828,34.0,12.0,2018.0,1
2019-01-07,-0.7840853654754796,34.0,1.0,2019.0,2
2019-01-14,-0.8445712494527365,34.0,1.0,2019.0,3
2019-01-21,-0.7203931324303481,34.0,1.0,2019.0,4
2019-01-28,-0.8354510312068228,34.0,1.0,2019.0,5
2019-02-04,-0.7550517253830845,34.0,1.5,2019.0,6
2019-02-11,-0.8212434242985076,34.0,2.0,2019.0,7
2019-02-18,-0.9982329563091685,34.0,2.0,2019.0,8
2019-02-25,-1.087450441238806,34.0,2.0,2019.0,9
2019-03-04,-0.915971191535181,34.0,2.5714285714285716,2019.0,10
2019-03-11,-0.7706488152537315,34.0,3.0,2019.0,11
2019-03-18,-0.7946744685287845,34.0,3.0,2019.0,12
2019-03-25,-0.7581839275565028,34.0,3.0,2019.0,13
2019-04-01,-0.3201813247671643,34.0,3.2,2019.0,14
2019-04-08,-0.16072292711513866,34.0,4.0,2019.0,15
2019-04-15,-0.4989482899552238,34.0,4.0,2019.0,16
2019-04-22,-0.8396780702238804,34.0,4.0,2019.0,17
2019-04-29,-0.5993846821449892,34.0,4.0,2019.0,18
2019-05-06,-0.546507734422175,34.0,4.857142857142857,2019.0,19
2019-05-13,-0.4061492631023454,34.0,5.0,2019.0,20
2019-05-20,-0.577012375533049,34.0,5.0,2019.0,21
2019-05-27,-0.7467808908017058,34.0,5.0,2019.0,22
2019-06-03,-0.7333095050199007,34.0,5.333333333333333,2019.0,23
2019-06-10,-0.8576217845117275,34.0,6.0,2019.0,24
2019-06-17,-0.9867546893411514,34.0,6.0,2019.0,25
2019-06-24,-0.9007607343368872,34.0,6.0,2019.0,26
2019-07-01,-1.1810202385927506,34.0,6.142857142857143,2019.0,27
2019-07-08,-1.1209563456044773,34.0,7.0,2019.0,28
2019-07-15,-1.415312634151386,34.0,7.0,2019.0,29
2019-07-22,-1.1418072102068229,34.0,7.0,2019.0,30
2019-07-29,-1.0753774687356077,34.0,7.0,2019.0,31
2019-08-05,-1.4591440361599144,34.0,7.714285714285714,2019.0,32
2019-08-12,-1.005197045270789,34.0,8.0,2019.0,33
2019-08-19,-0.9989688286823029,34.0,8.0,2019.0,34
2019-08-26,-1.3427873654221745,34.0,8.0,2019.0,35
2019-09-02,-1.2389772975223878,34.0,8.285714285714286,2019.0,36
2019-09-09,-1.267444594646055,34.0,9.0,2019.0,37
2019-09-16,-1.7165577581087421,34.0,9.0,2019.0,38
2019-09-23,-1.2618803091151392,34.0,9.0,2019.0,39
2019-09-30,-1.201756702317697,34.0,9.0,2019.0,40
2019-10-07,-1.7421880946289978,34.0,10.0,2019.0,41
2019-10-14,-1.4301115103454154,34.0,10.0,2019.0,42
2019-10-21,-1.368718929769723,34.0,10.0,2019.0,43
2019-10-28,-1.2875811849466958,34.0,10.0,2019.0,44
2019-11-04,-0.9801431748635396,34.0,10.571428571428571,2019.0,45
2019-11-11,-1.0151437512622599,34.0,11.0,2019.0,46
2019-11-18,-1.4587228138827288,34.0,11.0,2019.0,47
2019-11-25,-1.2427138373022388,34.0,11.0,2019.0,48
