date,Ward_No,mean,month,year,week
2018-07-16,105.33164983164983,-0.5406706233636612,7.0,2018.0,29
2018-07-23,100.0,-0.6601513777636819,7.0,2018.0,30
2018-07-30,100.0,-0.08221951542715004,7.0,2018.0,31
2018-08-06,100.0,-0.4910962043439944,7.857142857142857,2018.0,32
2018-08-13,100.0,-0.13311074098134318,8.0,2018.0,33
2018-08-20,100.0,-0.16904904953091687,8.0,2018.0,34
2018-08-27,100.0,-0.8850772769538022,8.0,2018.0,35
2018-09-03,100.0,-0.4896111130980811,8.428571428571429,2018.0,36
2018-09-10,100.0,-0.9311281670845766,9.0,2018.0,37
2018-09-17,100.0,-1.2265475316282861,9.0,2018.0,38
2018-09-24,100.0,-1.03741259211277,9.0,2018.0,39
2018-10-01,100.0,-0.90903475227221,9.142857142857142,2018.0,40
2018-10-08,100.0,-1.2660336582827527,10.0,2018.0,41
2018-10-15,100.0,-0.683069997313433,10.0,2018.0,42
2018-10-22,100.0,-1.0158052877178398,10.0,2018.0,43
2018-10-29,100.0,-0.9268443710878934,10.0,2018.0,44
2018-11-05,100.0,-0.8532270577306331,10.714285714285714,2018.0,45
2018-11-12,100.0,-0.7589271059104473,11.0,2018.0,46
2018-11-19,100.0,-1.0327779148884149,11.0,2018.0,47
2018-11-26,100.0,-0.8894733279580667,11.0,2018.0,48
2018-12-03,100.0,-1.0837403898116569,11.428571428571429,2018.0,49
2018-12-10,100.0,-0.9519923387114426,12.0,2018.0,50
2018-12-17,100.0,-0.5994830750281922,12.0,2018.0,51
2018-12-24,100.0,-0.8776105674996446,12.0,2018.0,52
2018-12-31,100.0,-0.8651137788926795,12.0,2018.0,1
2019-01-07,100.0,-1.1380583718066801,1.0,2019.0,2
2019-01-14,100.0,-1.1235477305941723,1.0,2019.0,3
2019-01-21,100.0,-1.0074062028962334,1.0,2019.0,4
2019-01-28,100.0,-1.2443314096652451,1.0,2019.0,5
2019-02-04,100.0,-0.886170337153519,1.5714285714285714,2019.0,6
2019-02-11,100.0,-1.0995312207050465,2.0,2019.0,7
2019-02-18,100.0,-1.1708417777803837,2.0,2019.0,8
2019-02-25,100.0,-0.8868400853482586,2.0,2019.0,9
2019-03-04,100.0,-0.9188873887221037,2.5714285714285716,2019.0,10
2019-03-11,100.0,-0.8043634628692252,3.0,2019.0,11
2019-03-18,100.0,-0.9060801029395877,3.0,2019.0,12
2019-03-25,100.0,-0.7653280445742718,3.0,2019.0,13
2019-04-01,100.0,-0.42102708483781104,3.2,2019.0,14
2019-04-08,100.0,-0.6592803983837954,4.0,2019.0,15
2019-04-15,100.0,-0.6143858434129353,4.0,2019.0,16
2019-04-22,100.0,-0.9705258385323384,4.0,2019.0,17
2019-04-29,100.0,-1.081733759817342,4.0,2019.0,18
2019-05-06,100.0,-0.7219552577057575,4.857142857142857,2019.0,19
2019-05-13,100.0,-0.5144554944712154,5.0,2019.0,20
2019-05-20,100.0,-0.9235033354719262,5.0,2019.0,21
2019-05-27,100.0,-0.9209206378031276,5.0,2019.0,22
2019-06-03,100.0,-1.0788783314044061,5.428571428571429,2019.0,23
2019-06-10,100.0,-1.0835386716510298,6.0,2019.0,24
2019-06-17,100.0,-0.8815706592359629,6.0,2019.0,25
