date,Ahmedabad,Bangalore,Bhopal,Bhubaneshwar,Chennai,Delhi,Hyderabad,Jaipur,Kolkata,Mumbai,Pune
7/16/2018,-0.756584757,-0.896302153,-0.557584385,-0.642007198,-0.540670623,-0.453550079,-0.600130641,-0.565499995,-1.104306391,-0.491261728,-0.896012949
7/23/2018,-0.441123189,-0.222557537,-0.490328558,-0.647062272,-0.660151378,-0.884396811,-0.770833731,-0.692977632,-0.692226683,-0.558497451,-0.480637013
7/30/2018,0.108522852,-0.378929239,-0.178766539,-0.851047319,-0.082219515,-0.57787483,0.070293641,-0.264672154,-0.557874551,0.009167547,-0.417761976
8/6/2018,0.40194217,-0.000836584,-0.329908353,-0.412065604,-0.491096204,-0.103946909,-0.138146201,-0.172925643,-0.539647627,0.958713041,0.278315681
8/13/2018,0.5900588,-0.537708082,-0.120354094,-1.297045113,-0.133110741,-0.402681194,-0.275480256,-0.309478207,-1.537283152,0.022972058,-0.339340356
8/20/2018,0.206857536,0.072607078,-0.927886847,-0.989389902,-0.16904905,-0.542630534,-0.562000154,-0.941857374,-0.859853586,0.554773989,0.04564467
8/27/2018,-0.76079244,-0.869418665,-0.896187743,-0.953919878,-0.885077277,-0.803507352,-0.970443765,-0.856496809,-1.029511883,-0.906871214,-0.765898091
9/3/2018,-0.565663356,-0.746027338,-0.315818816,-1.196169541,-0.489611113,-0.424528728,-0.377298473,-0.731112105,-0.81158317,-0.527734957,-0.826071099
9/10/2018,-0.317581766,-0.819214566,-1.023966957,-0.743407462,-0.931128167,-1.000938282,-0.664138659,-0.553581367,-0.849962993,-0.842006509,-0.920946386
9/17/2018,-0.479986549,-1.196833787,-1.244204576,-1.200530523,-1.226547532,-0.376862824,-1.024929239,-0.582822485,-1.012299887,-0.950022673,-1.19023406
9/24/2018,-0.331833939,-0.552636767,-0.901851487,-1.123672206,-1.037412592,-0.508055649,-0.696309084,-0.410574096,-1.079287532,-0.918537497,-1.290652659
10/1/2018,-0.209815248,-1.118006489,-0.689929617,-1.245876019,-0.909034752,-0.42196963,-1.279829162,-0.180803085,-0.649126779,-0.936856809,-1.070129507
10/8/2018,-0.628816284,-1.06810797,-0.973967339,-1.205330129,-1.266033658,-0.211002335,-1.117513416,-0.555138534,-0.624120362,-0.931892095,-0.879177356
10/15/2018,0.019398316,-0.795733367,-0.511172407,-1.274803821,-0.683069997,-0.156406254,-0.788842219,-0.049849812,-1.041600425,-0.743472703,-0.785294588
10/22/2018,-0.233976419,-0.803502301,-0.74875444,-0.9415843,-1.015805288,0.020677716,-1.036679825,-0.069415791,-0.553908386,-1.053018359,-1.163257109
10/29/2018,-0.421058349,-0.808756621,-0.616746608,-0.722306039,-0.926844371,0.100613491,-0.704489724,-0.009699386,-0.397088826,-0.77376811,-0.870758541
11/5/2018,-0.405917914,-0.903546398,-0.989627161,-1.15122199,-0.853227058,0.378525624,-0.900609934,-0.138309452,-0.79385246,-0.971138969,-0.869786631
11/12/2018,-0.25032793,-0.8189126,-0.458052102,-0.669797064,-0.758927106,0.504394058,-0.867044828,-0.327430654,-0.661430448,-0.842242075,-0.786944957
11/19/2018,-0.274738593,-0.928828346,-0.684668554,-0.883806562,-1.032777915,-0.367029088,-0.772815208,-0.377903493,-0.370624347,-0.66884784,-0.887336302
11/26/2018,-0.366643258,-0.715416509,-0.728784623,-0.807232957,-0.889473328,-0.151949021,-0.822228106,-0.214725738,-0.376616311,-0.693513205,-0.888885309
12/3/2018,-0.598749955,-0.808904598,-0.707968353,-0.682905277,-1.08374039,-0.2391456,-0.641670821,-0.504862918,-0.605639899,-0.68671362,-0.722023762
12/10/2018,-0.580095756,-0.83547037,-0.923504044,-0.690259978,-0.951992339,-0.33242224,-0.961943548,-0.483856452,-0.156462295,-1.001189932,-0.855395507
12/17/2018,-0.540783488,-0.982576585,-0.901744295,-0.559695136,-0.599483075,-0.757297336,-0.744642987,-0.741156393,-0.540199916,-0.701215934,-0.627560147
12/24/2018,-0.629890421,-0.92583051,-0.864571234,-0.91766803,-0.877610567,-0.501437616,-0.846957966,-0.669927136,-0.81245533,-0.915100562,-0.977821612
12/31/2018,-0.526805473,-0.949988075,-0.921964567,-0.806175076,-0.865113779,-0.548725648,-0.907826195,-0.697938047,-0.432432371,-1.031360774,-1.017605089
1/7/2019,-0.557844223,-0.659691535,-0.838625606,-0.784085365,-1.138058372,-0.409732015,-0.737211566,-0.466006901,-0.561432284,-0.772623632,-0.528513044
1/14/2019,-0.669793933,-0.670224768,-0.816653397,-0.844571249,-1.123547731,-0.649803885,-0.628832267,-0.473303682,-0.573207551,-0.688552198,-0.516878129
1/21/2019,-0.498168215,-0.707246486,-0.767673362,-0.720393132,-1.007406203,-0.573172584,-0.736554619,-0.638176939,-0.354836477,-0.728032256,-0.738843342
1/28/2019,-0.449102781,-1.112150291,-0.81298081,-0.835451031,-1.24433141,-0.711921559,-0.578826623,-0.807984301,-0.567084823,-0.747783763,-0.771805676
2/4/2019,-0.504472747,-0.75010579,-0.781792108,-0.755051725,-0.886170337,-0.658210833,-0.697338691,-0.582830575,-0.67074163,-0.70717531,-0.564513724
2/11/2019,-0.170723549,-1.046939632,-0.79210279,-0.821243424,-1.099531221,-0.659143528,-0.820221807,-0.547951144,-0.758864548,-0.734008885,-0.612024678
2/18/2019,-0.470155067,-0.806220094,-0.868777836,-0.998232956,-1.170841778,-0.912204548,-0.821215887,-0.802347562,-0.849787687,-0.690969898,-0.633997224
2/25/2019,-0.533017607,-0.450902342,-0.881073818,-1.087450441,-0.886840085,-0.637445567,-0.63550983,-0.499785396,-0.969773199,-0.787153223,-0.623765213
3/4/2019,-0.201687321,-0.730971456,-0.544659872,-0.915971192,-0.918887389,-0.860335204,-0.663742196,-0.970265514,-0.723255102,-0.564025106,-0.350816709
3/11/2019,-0.234678885,-0.760151757,-0.731737637,-0.770648815,-0.804363463,-1.031455723,-0.513328285,-0.5288538,-0.527200265,-0.651672168,-0.366034348
3/18/2019,-0.265138953,-0.518452507,-0.646067359,-0.794674469,-0.906080103,-0.803992873,-0.499302246,-0.695154484,-0.803783411,-0.599767231,-0.464820827
3/25/2019,0.118643238,-0.828531652,-0.293708491,-0.758183928,-0.765328045,-0.181013459,-0.67881557,-0.014065524,-0.641360206,-0.524105475,-0.389557706
4/1/2019,0.270832232,-0.552232231,-0.003474748,-0.320181325,-0.421027085,0.006545884,-0.217722315,0.067850525,-0.376606169,-0.36411464,-0.240247356
4/8/2019,0.023575719,-0.732696062,-0.268503487,-0.160722927,-0.659280398,-0.200185175,-0.484414566,0.097770008,-0.21469969,-0.537652528,-0.400579998
4/15/2019,-0.061730154,-0.764952784,-0.102922694,-0.49894829,-0.614385843,0.212436607,-0.422855508,0.236034157,-0.348847937,-0.5170983,-0.454458639
4/22/2019,-0.129626449,-1.122574158,-0.683009487,-0.83967807,-0.970525839,-0.91987232,-0.694368127,-0.607390017,-0.72445963,-0.739323398,-0.649008254
4/29/2019,-0.02514722,-1.223556012,-0.201030708,-0.599384682,-1.08173376,0.492520118,-0.579076945,0.326777702,-0.421992306,-0.418481905,-0.46506014
5/6/2019,0.628108283,-0.672854333,-0.078656858,-0.546507734,-0.721955258,0.547872092,-0.290201338,0.344568873,-0.474833904,-0.467398903,-0.341508185
5/13/2019,0.035454221,-0.858613911,-0.181261529,-0.406149263,-0.514455494,0.779226335,-0.429434771,0.407059483,0.018691141,-0.72849653,-0.5157042
5/20/2019,-0.025874726,-1.018235065,-0.335920561,-0.577012376,-0.923503335,-0.40899816,-0.72896124,-0.009121952,-0.309506165,-0.579504042,-0.411687365
5/27/2019,0.131109934,-0.9875027,-0.339354489,-0.746780891,-0.920920638,-0.316939163,-0.587456516,-0.227926938,-0.398966342,-0.647724428,-0.451662937
6/3/2019,0.253343328,-1.071604577,-0.405278817,-0.733309505,-1.078878331,0.44454805,-0.637867601,0.113388841,-0.568020242,-0.592990851,-0.403925631
6/10/2019,0.0785638,-0.87878233,-0.237429072,-0.857621785,-1.083538672,0.139411347,-0.660929312,0.45176126,-0.796137438,-0.521575057,-0.678490149
6/17/2019,-0.617363813,-0.852129385,-0.708294898,-0.986754689,-0.881570659,0.143223152,-0.646343163,-0.491692807,-0.487180231,-0.726421886,-0.8820763
6/24/2019,-0.588442417,-0.77173886,-1.059165806,-0.900760734,-0.941393719,-0.637253288,-0.999997116,-0.605459134,-1.27399823,-0.85013263,-0.932614041
7/1/2019,-1.064334975,-1.182662043,-0.994089204,-1.181020239,-1.157647822,-0.334590462,-1.14505633,-0.17356978,-1.159889252,-1.022723951,-0.940776808
7/8/2019,-0.482045244,-1.232227926,-0.753819183,-1.120956346,-0.944965266,-0.73913365,-0.750313027,-0.534123596,-1.230602899,-0.742764368,-1.044539462
7/15/2019,-0.176916464,-1.180716895,-0.939337405,-1.415312634,-0.665420226,1.415601725,-1.00656655,-0.218160355,-1.240992432,-0.71187168,-0.903019997
7/22/2019,-0.773968124,-1.205673493,-1.021598232,-1.14180721,-1.273658029,-0.592569849,-1.010848513,-0.614505998,-1.017815077,-1.364106443,-1.25371081
7/29/2019,-0.87457351,-1.405140034,-1.213227728,-1.075377469,-1.362565505,-0.957490195,-1.035966429,-1.08187129,-1.047748744,-0.653798533,-1.002674421
8/5/2019,-0.599787099,-0.913400817,-0.659888562,-1.459144036,-1.029188664,-1.117957103,-0.920876735,-1.053012177,-1.032500632,-0.733640059,-0.897233026
8/12/2019,-0.876875014,-0.843623415,-0.724615767,-1.005197045,-1.071323235,-1.166729701,-0.480623349,-1.210470209,-1.050430306,-0.421839178,-0.371914353
8/19/2019,-0.695218915,-1.027734959,-1.060238724,-0.998968829,-1.013313823,-1.061273183,-1.002705194,-1.112266041,-1.031329232,-0.471739636,-0.890520034
8/26/2019,-0.734368274,-0.953159637,-1.034742297,-1.342787365,-1.073369068,-1.082269237,-1.05687439,-0.853096198,-1.322003932,-1.151847996,-1.045380992
9/2/2019,-1.054540836,-1.146331534,-1.335243404,-1.238977298,-0.994843268,-1.259782401,-0.94056704,-1.337206927,-1.184898666,-1.236652305,-1.556881605
9/9/2019,-1.198799633,-1.148316346,-0.963650003,-1.267444595,-1.276924806,-1.320481079,-1.158287523,-1.346929592,-0.968179382,-0.941832261,-1.332047425
