ST_NM,date,aod
Andaman & Nicobar Island,4/1/2000,216.0607853
Andaman & Nicobar Island,7/1/2000,317.3115939
Andaman & Nicobar Island,10/1/2000,341.136057
Andaman & Nicobar Island,1/1/2001,192.2043717
Andaman & Nicobar Island,4/1/2001,244.9049241
Andaman & Nicobar Island,7/1/2001,343.086393
Andaman & Nicobar Island,10/1/2001,243.6611269
Andaman & Nicobar Island,1/1/2002,250.8676791
Andaman & Nicobar Island,4/1/2002,232.2672659
Andaman & Nicobar Island,7/1/2002,408.2041889
Andaman & Nicobar Island,10/1/2002,215.8627105
Andaman & Nicobar Island,1/1/2003,219.2815551
Andaman & Nicobar Island,4/1/2003,247.9487516
Andaman & Nicobar Island,7/1/2003,229.211819
Andaman & Nicobar Island,10/1/2003,299.7134805
Andaman & Nicobar Island,1/1/2004,261.9186248
Andaman & Nicobar Island,4/1/2004,246.5324802
Andaman & Nicobar Island,7/1/2004,356.6460048
Andaman & Nicobar Island,10/1/2004,367.7033233
Andaman & Nicobar Island,1/1/2005,239.2001902
Andaman & Nicobar Island,4/1/2005,299.7021967
Andaman & Nicobar Island,7/1/2005,260.5202479
Andaman & Nicobar Island,10/1/2005,240.4717463
Andaman & Nicobar Island,1/1/2006,224.2444688
Andaman & Nicobar Island,4/1/2006,235.5427728
Andaman & Nicobar Island,7/1/2006,457.2668919
Andaman & Nicobar Island,10/1/2006,361.253262
Andaman & Nicobar Island,1/1/2007,290.1155726
Andaman & Nicobar Island,4/1/2007,252.2668127
Andaman & Nicobar Island,7/1/2007,291.1559948
Andaman & Nicobar Island,10/1/2007,305.0716291
Andaman & Nicobar Island,1/1/2008,251.1430118
Andaman & Nicobar Island,4/1/2008,291.844271
Andaman & Nicobar Island,7/1/2008,368.9380312
Andaman & Nicobar Island,10/1/2008,262.2697509
Andaman & Nicobar Island,1/1/2009,276.892715
Andaman & Nicobar Island,4/1/2009,290.6020908
Andaman & Nicobar Island,7/1/2009,343.2721631
Andaman & Nicobar Island,10/1/2009,323.8059371
Andaman & Nicobar Island,1/1/2010,292.4202797
Andaman & Nicobar Island,4/1/2010,281.1940928
Andaman & Nicobar Island,7/1/2010,282.6629811
Andaman & Nicobar Island,10/1/2010,329.0539896
Andaman & Nicobar Island,1/1/2011,250.9500794
Andaman & Nicobar Island,4/1/2011,349.3485888
Andaman & Nicobar Island,7/1/2011,457.1009857
Andaman & Nicobar Island,10/1/2011,336.8511614
Andaman & Nicobar Island,1/1/2012,242.010292
Andaman & Nicobar Island,4/1/2012,309.9450534
Andaman & Nicobar Island,7/1/2012,381.9396459
Andaman & Nicobar Island,10/1/2012,319.306675
Andaman & Nicobar Island,1/1/2013,289.1655587
Andaman & Nicobar Island,4/1/2013,312.4283251
Andaman & Nicobar Island,7/1/2013,372.7560369
Andaman & Nicobar Island,10/1/2013,275.8886547
Andaman & Nicobar Island,1/1/2014,314.3832535
Andaman & Nicobar Island,4/1/2014,420.6787035
Andaman & Nicobar Island,7/1/2014,473.5872841
Andaman & Nicobar Island,10/1/2014,334.7652785
Andaman & Nicobar Island,1/1/2015,271.5891361
Andaman & Nicobar Island,4/1/2015,273.8888765
Andaman & Nicobar Island,7/1/2015,400.9088204
Andaman & Nicobar Island,10/1/2015,264.5186136
Andaman & Nicobar Island,1/1/2016,256.0763011
Andaman & Nicobar Island,4/1/2016,355.5660363
Andaman & Nicobar Island,7/1/2016,315.4637408
Andaman & Nicobar Island,10/1/2016,466.7854624
Andaman & Nicobar Island,1/1/2017,264.3467286
Andaman & Nicobar Island,4/1/2017,371.9750297
Andaman & Nicobar Island,7/1/2017,435.6684222
Andaman & Nicobar Island,10/1/2017,312.0597917
Andaman & Nicobar Island,1/1/2018,258.3815123
Andaman & Nicobar Island,4/1/2018,343.4714296
Andaman & Nicobar Island,7/1/2018,368.5346453
Andaman & Nicobar Island,10/1/2018,304.3275331
Andaman & Nicobar Island,1/1/2019,334.6088534
Andaman & Nicobar Island,4/1/2019,327.7336484
Andaman & Nicobar Island,7/1/2019,321.6408166
Andaman & Nicobar Island,10/1/2019,280.7907948
Andhra Pradesh,4/1/2000,575.568234
Andhra Pradesh,7/1/2000,609.3703698
Andhra Pradesh,10/1/2000,422.6790117
Andhra Pradesh,1/1/2001,463.9441953
Andhra Pradesh,4/1/2001,472.5537428
Andhra Pradesh,7/1/2001,571.7456973
Andhra Pradesh,10/1/2001,394.6260288
Andhra Pradesh,1/1/2002,364.6424394
Andhra Pradesh,4/1/2002,501.7152899
Andhra Pradesh,7/1/2002,644.2476656
Andhra Pradesh,10/1/2002,395.0938777
Andhra Pradesh,1/1/2003,414.9309827
Andhra Pradesh,4/1/2003,487.9045424
Andhra Pradesh,7/1/2003,498.2541535
Andhra Pradesh,10/1/2003,411.8981408
Andhra Pradesh,1/1/2004,353.9398899
Andhra Pradesh,4/1/2004,511.8611578
Andhra Pradesh,7/1/2004,404.9970275
Andhra Pradesh,10/1/2004,411.383471
Andhra Pradesh,1/1/2005,451.7060381
Andhra Pradesh,4/1/2005,611.2852591
Andhra Pradesh,7/1/2005,486.9829688
Andhra Pradesh,10/1/2005,520.6838575
Andhra Pradesh,1/1/2006,391.1843016
Andhra Pradesh,4/1/2006,637.2413866
Andhra Pradesh,7/1/2006,539.9551969
Andhra Pradesh,10/1/2006,474.5650809
Andhra Pradesh,1/1/2007,462.9827609
Andhra Pradesh,4/1/2007,618.8191649
Andhra Pradesh,7/1/2007,601.3144899
Andhra Pradesh,10/1/2007,518.3623353
Andhra Pradesh,1/1/2008,445.5950206
Andhra Pradesh,4/1/2008,637.2318473
Andhra Pradesh,7/1/2008,648.2292785
Andhra Pradesh,10/1/2008,473.1037491
Andhra Pradesh,1/1/2009,456.2365368
Andhra Pradesh,4/1/2009,641.9335905
Andhra Pradesh,7/1/2009,587.3799408
Andhra Pradesh,10/1/2009,506.726323
Andhra Pradesh,1/1/2010,491.8654531
Andhra Pradesh,4/1/2010,592.4990347
Andhra Pradesh,7/1/2010,522.1304427
Andhra Pradesh,10/1/2010,517.8840488
Andhra Pradesh,1/1/2011,404.2254626
Andhra Pradesh,4/1/2011,663.4606752
Andhra Pradesh,7/1/2011,518.8790563
Andhra Pradesh,10/1/2011,669.2445624
Andhra Pradesh,1/1/2012,407.5274528
Andhra Pradesh,4/1/2012,658.3558125
Andhra Pradesh,7/1/2012,446.5826743
Andhra Pradesh,10/1/2012,523.0742412
Andhra Pradesh,1/1/2013,542.9896306
Andhra Pradesh,4/1/2013,761.2454158
Andhra Pradesh,7/1/2013,622.1853241
Andhra Pradesh,10/1/2013,469.2929445
Andhra Pradesh,1/1/2014,609.4751706
Andhra Pradesh,4/1/2014,907.9031599
Andhra Pradesh,7/1/2014,648.5050261
Andhra Pradesh,10/1/2014,590.4677293
Andhra Pradesh,1/1/2015,501.8173254
Andhra Pradesh,4/1/2015,636.0929716
Andhra Pradesh,7/1/2015,701.4788826
Andhra Pradesh,10/1/2015,710.7763351
Andhra Pradesh,1/1/2016,632.2941127
Andhra Pradesh,4/1/2016,689.3212619
Andhra Pradesh,7/1/2016,593.2072028
Andhra Pradesh,10/1/2016,540.7461066
Andhra Pradesh,1/1/2017,625.9312555
Andhra Pradesh,4/1/2017,881.4071077
Andhra Pradesh,7/1/2017,537.2993283
Andhra Pradesh,10/1/2017,669.6806201
Andhra Pradesh,1/1/2018,745.3379983
Andhra Pradesh,4/1/2018,695.8521241
Andhra Pradesh,7/1/2018,720.3646206
Andhra Pradesh,10/1/2018,634.9305454
Andhra Pradesh,1/1/2019,694.2409809
Andhra Pradesh,4/1/2019,655.2111184
Andhra Pradesh,7/1/2019,561.9237534
Andhra Pradesh,10/1/2019,554.8472013
Arunanchal Pradesh,4/1/2000,323.090305
Arunanchal Pradesh,7/1/2000,227.8273116
Arunanchal Pradesh,10/1/2000,78.96760117
Arunanchal Pradesh,1/1/2001,178.4461788
Arunanchal Pradesh,4/1/2001,305.8108341
Arunanchal Pradesh,7/1/2001,132.9907671
Arunanchal Pradesh,10/1/2001,55.61785146
Arunanchal Pradesh,1/1/2002,113.3144094
Arunanchal Pradesh,4/1/2002,225.6758099
Arunanchal Pradesh,7/1/2002,392.3813792
Arunanchal Pradesh,10/1/2002,117.4556477
Arunanchal Pradesh,1/1/2003,133.1959586
Arunanchal Pradesh,4/1/2003,277.1339916
Arunanchal Pradesh,7/1/2003,129.6227191
Arunanchal Pradesh,10/1/2003,127.0539886
Arunanchal Pradesh,1/1/2004,121.7793645
Arunanchal Pradesh,4/1/2004,278.0423841
Arunanchal Pradesh,7/1/2004,259.6216173
Arunanchal Pradesh,10/1/2004,110.6144062
Arunanchal Pradesh,1/1/2005,165.9138372
