STATE_UT,date,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature
ANDAMAN & NICOBAR ISLAND,1/1/2000,301.715992,299.6096009,297.47406
ANDAMAN & NICOBAR ISLAND,4/1/2000,302.3020863,300.5956018,298.5472
ANDAMAN & NICOBAR ISLAND,7/1/2000,301.7088495,300.0752264,298.36575
ANDAMAN & NICOBAR ISLAND,10/1/2000,301.5069911,299.867244,298.00006
ANDAMAN & NICOBAR ISLAND,1/1/2001,301.4235702,299.4076315,297.09958
ANDAMAN & NICOBAR ISLAND,4/1/2001,303.1589524,301.0849445,299.0655
ANDAMAN & NICOBAR ISLAND,7/1/2001,301.8239222,300.2297239,298.66373
ANDAMAN & NICOBAR ISLAND,10/1/2001,301.5425477,299.754464,298.0295
ANDAMAN & NICOBAR ISLAND,1/1/2002,302.0239808,300.0158696,297.7289
ANDAMAN & NICOBAR ISLAND,4/1/2002,303.2291202,301.2396376,299.19955
ANDAMAN & NICOBAR ISLAND,7/1/2002,302.0973769,300.4359731,298.64557
ANDAMAN & NICOBAR ISLAND,10/1/2002,301.8715316,300.0524208,298.2848
ANDAMAN & NICOBAR ISLAND,1/1/2003,301.9223878,299.9476308,297.5941
ANDAMAN & NICOBAR ISLAND,4/1/2003,303.2874157,301.3135767,299.02545
ANDAMAN & NICOBAR ISLAND,7/1/2003,301.7841489,300.1270787,298.53214
ANDAMAN & NICOBAR ISLAND,10/1/2003,302.0277287,300.2132487,298.2624
ANDAMAN & NICOBAR ISLAND,1/1/2004,301.5887892,299.7328524,297.21445
ANDAMAN & NICOBAR ISLAND,4/1/2004,303.1747507,301.0922462,298.98352
ANDAMAN & NICOBAR ISLAND,7/1/2004,301.9765856,300.2587294,298.43518
ANDAMAN & NICOBAR ISLAND,10/1/2004,302.1447552,300.2380705,298.19687
ANDAMAN & NICOBAR ISLAND,1/1/2005,301.9428122,300.0576927,297.90244
ANDAMAN & NICOBAR ISLAND,4/1/2005,303.256891,301.2895765,299.1644
ANDAMAN & NICOBAR ISLAND,7/1/2005,302.1083607,300.4408318,298.69803
ANDAMAN & NICOBAR ISLAND,10/1/2005,301.4576037,299.7565057,297.8713
ANDAMAN & NICOBAR ISLAND,1/1/2006,301.7433031,300.0413412,297.88962
ANDAMAN & NICOBAR ISLAND,4/1/2006,302.6424225,300.7435205,298.85458
ANDAMAN & NICOBAR ISLAND,7/1/2006,301.8166977,300.2224203,298.6351
ANDAMAN & NICOBAR ISLAND,10/1/2006,302.0677245,300.2359833,298.16937
ANDAMAN & NICOBAR ISLAND,1/1/2007,301.5195174,299.5109828,297.25897
ANDAMAN & NICOBAR ISLAND,4/1/2007,302.9214154,301.0053572,299.03134
ANDAMAN & NICOBAR ISLAND,7/1/2007,301.7599103,300.2256616,298.51663
ANDAMAN & NICOBAR ISLAND,10/1/2007,301.4961708,299.6629661,297.63647
ANDAMAN & NICOBAR ISLAND,1/1/2008,301.7637052,299.897423,297.7033
ANDAMAN & NICOBAR ISLAND,4/1/2008,302.4848,300.6478872,298.72195
ANDAMAN & NICOBAR ISLAND,7/1/2008,301.6672055,300.1173574,298.49463
ANDAMAN & NICOBAR ISLAND,10/1/2008,301.7247943,300.0596347,297.97107
ANDAMAN & NICOBAR ISLAND,1/1/2009,301.8313357,299.6355196,297.41895
ANDAMAN & NICOBAR ISLAND,4/1/2009,302.8504274,300.9093675,298.96814
ANDAMAN & NICOBAR ISLAND,7/1/2009,302.1063401,300.481851,298.76712
ANDAMAN & NICOBAR ISLAND,10/1/2009,302.2005877,300.372584,298.13284
ANDAMAN & NICOBAR ISLAND,1/1/2010,302.315433,300.323563,298.08102
ANDAMAN & NICOBAR ISLAND,4/1/2010,304.004582,301.9239326,299.70242
ANDAMAN & NICOBAR ISLAND,7/1/2010,302.0946817,300.3723777,298.82727
ANDAMAN & NICOBAR ISLAND,10/1/2010,301.7768157,300.005212,298.1267
ANDAMAN & NICOBAR ISLAND,1/1/2011,301.5946471,299.5183111,296.9945
