ST_NM,date,evaptrans
Andaman & Nicobar Island,2001-01-01,361.7368008666667
Andaman & Nicobar Island,2001-04-01,304.0055404
Andaman & Nicobar Island,2001-07-01,235.34389740000003
Andaman & Nicobar Island,2001-10-01,272.3226717333333
Andaman & Nicobar Island,2002-01-01,350.83386756666664
Andaman & Nicobar Island,2002-04-01,291.5447809
Andaman & Nicobar Island,2002-07-01,261.2468917333333
Andaman & Nicobar Island,2002-10-01,273.2625829333333
Andaman & Nicobar Island,2003-01-01,377.74782523333334
Andaman & Nicobar Island,2003-04-01,364.53287589999996
Andaman & Nicobar Island,2003-07-01,240.17353793333334
Andaman & Nicobar Island,2003-10-01,300.5931862333333
Andaman & Nicobar Island,2004-01-01,360.3865735
Andaman & Nicobar Island,2004-04-01,327.73066523333335
Andaman & Nicobar Island,2004-07-01,251.55449776666663
Andaman & Nicobar Island,2004-10-01,317.45880743333333
Andaman & Nicobar Island,2005-01-01,364.4436905
Andaman & Nicobar Island,2005-04-01,301.0220451333333
Andaman & Nicobar Island,2005-07-01,247.43192183333335
Andaman & Nicobar Island,2005-10-01,240.3096128
Andaman & Nicobar Island,2006-01-01,363.8516360666666
Andaman & Nicobar Island,2006-04-01,280.8476593
Andaman & Nicobar Island,2006-07-01,221.05087939999999
Andaman & Nicobar Island,2006-10-01,303.9299408333334
Andaman & Nicobar Island,2007-01-01,374.7190828333333
Andaman & Nicobar Island,2007-04-01,287.3210539666666
Andaman & Nicobar Island,2007-07-01,219.9057745
Andaman & Nicobar Island,2007-10-01,279.98863903333336
Andaman & Nicobar Island,2008-01-01,367.72932590000005
Andaman & Nicobar Island,2008-04-01,262.6806497
Andaman & Nicobar Island,2008-07-01,281.4925369
Andaman & Nicobar Island,2008-10-01,304.08725043333334
Andaman & Nicobar Island,2009-01-01,348.76397926666664
Andaman & Nicobar Island,2009-04-01,302.4735760333333
Andaman & Nicobar Island,2009-07-01,252.6716611333333
Andaman & Nicobar Island,2009-10-01,296.56730046666667
Andaman & Nicobar Island,2010-01-01,374.9874356333333
Andaman & Nicobar Island,2010-04-01,331.73486019999996
Andaman & Nicobar Island,2010-07-01,248.257925
Andaman & Nicobar Island,2010-10-01,263.8208467
Andaman & Nicobar Island,2011-01-01,338.02389330000005
Andaman & Nicobar Island,2011-04-01,310.0566392
Andaman & Nicobar Island,2011-07-01,259.7221624333333
Andaman & Nicobar Island,2011-10-01,302.22491033333336
Andaman & Nicobar Island,2012-01-01,343.8140917
Andaman & Nicobar Island,2012-04-01,299.77417533333335
Andaman & Nicobar Island,2012-07-01,257.19112406666665
Andaman & Nicobar Island,2012-10-01,295.6648006333333
Andaman & Nicobar Island,2013-01-01,367.4972333666667
Andaman & Nicobar Island,2013-04-01,324.16593613333333
Andaman & Nicobar Island,2013-07-01,257.36021193333335
Andaman & Nicobar Island,2013-10-01,288.1476943666667
Andaman & Nicobar Island,2014-01-01,385.84450050000004
Andaman & Nicobar Island,2014-04-01,297.9894964
Andaman & Nicobar Island,2014-07-01,270.9236831666667
Andaman & Nicobar Island,2014-10-01,281.6326256333333
Andaman & Nicobar Island,2015-01-01,378.7752656333334
Andaman & Nicobar Island,2015-04-01,291.46479926666666
Andaman & Nicobar Island,2015-07-01,249.41927346666668
Andaman & Nicobar Island,2015-10-01,298.7081887333333
Andaman & Nicobar Island,2016-01-01,377.254753
Andaman & Nicobar Island,2016-04-01,352.94779489999996
Andaman & Nicobar Island,2016-07-01,242.66850683333337
Andaman & Nicobar Island,2016-10-01,268.90327713333335
Andaman & Nicobar Island,2017-01-01,376.42044086666664
Andaman & Nicobar Island,2017-04-01,318.25011670000004
Andaman & Nicobar Island,2017-07-01,251.52959543333336
Andaman & Nicobar Island,2017-10-01,289.3862977666667
Andaman & Nicobar Island,2018-01-01,360.80012043333335
Andaman & Nicobar Island,2018-04-01,302.55922453333335
Andaman & Nicobar Island,2018-07-01,274.1456235333333
Andaman & Nicobar Island,2018-10-01,274.8238415
