ST_NM,date,population
Andaman & Nicobar Island,2000-01-01,0.4010454273610951
Andaman & Nicobar Island,2001-01-01,0.40361169584674234
Andaman & Nicobar Island,2002-01-01,0.40606995326768297
Andaman & Nicobar Island,2003-01-01,0.4086199498344656
Andaman & Nicobar Island,2004-01-01,0.4107667492333009
Andaman & Nicobar Island,2005-01-01,0.41343869335440125
Andaman & Nicobar Island,2006-01-01,0.41595408850406196
Andaman & Nicobar Island,2007-01-01,0.41842428679308136
Andaman & Nicobar Island,2008-01-01,0.4212695990206457
Andaman & Nicobar Island,2009-01-01,0.4241011463832322
Andaman & Nicobar Island,2010-01-01,0.4270567246785671
Andaman & Nicobar Island,2011-01-01,0.43026381479451903
Andaman & Nicobar Island,2012-01-01,0.4334662407415069
Andaman & Nicobar Island,2013-01-01,0.43658015043117504
Andaman & Nicobar Island,2014-01-01,0.43935467569221465
Andaman & Nicobar Island,2015-01-01,0.4429671812762599
Andaman & Nicobar Island,2016-01-01,0.44611232022238817
Andaman & Nicobar Island,2017-01-01,0.44967244375430987
Andaman & Nicobar Island,2018-01-01,0.45259576362888637
Andaman & Nicobar Island,2019-01-01,0.45593745546462466
Andaman & Nicobar Island,2020-01-01,0.45953793325944253
Andhra Pradesh,2000-01-01,8.494104770339128
Andhra Pradesh,2001-01-01,8.541681546770727
Andhra Pradesh,2002-01-01,8.579333519048461
Andhra Pradesh,2003-01-01,8.612842042115046
Andhra Pradesh,2004-01-01,8.670339524351034
Andhra Pradesh,2005-01-01,8.69895637276117
Andhra Pradesh,2006-01-01,8.753309298551557
Andhra Pradesh,2007-01-01,8.793486044496019
Andhra Pradesh,2008-01-01,8.831725595118856
Andhra Pradesh,2009-01-01,8.862506973141675
Andhra Pradesh,2010-01-01,8.911651008483402
Andhra Pradesh,2011-01-01,8.97993680817296
Andhra Pradesh,2012-01-01,9.040579380588941
Andhra Pradesh,2013-01-01,9.088079580557862
Andhra Pradesh,2014-01-01,9.143819615543276
Andhra Pradesh,2015-01-01,9.197072587135318
Andhra Pradesh,2016-01-01,9.23808815330228
Andhra Pradesh,2017-01-01,9.288472983444828
Andhra Pradesh,2018-01-01,9.347462407824839
Andhra Pradesh,2019-01-01,9.392074218854809
Andhra Pradesh,2020-01-01,9.460458972858316
Arunanchal Pradesh,2000-01-01,0.12662178738389973
Arunanchal Pradesh,2001-01-01,0.12946282449491683
Arunanchal Pradesh,2002-01-01,0.1320825669877385
Arunanchal Pradesh,2003-01-01,0.13523496272595056
Arunanchal Pradesh,2004-01-01,0.13822873585509926
Arunanchal Pradesh,2005-01-01,0.14140371392443216
Arunanchal Pradesh,2006-01-01,0.14475355885463884
Arunanchal Pradesh,2007-01-01,0.14793730720387366
Arunanchal Pradesh,2008-01-01,0.1513351376871053
Arunanchal Pradesh,2009-01-01,0.15510718707003832
Arunanchal Pradesh,2010-01-01,0.15869319827596262
Arunanchal Pradesh,2011-01-01,0.162313521171368
Arunanchal Pradesh,2012-01-01,0.16714456693871868
Arunanchal Pradesh,2013-01-01,0.17124609268722604
Arunanchal Pradesh,2014-01-01,0.1757410421150682
Arunanchal Pradesh,2015-01-01,0.18022413301434018
Arunanchal Pradesh,2016-01-01,0.18501970162586723
Arunanchal Pradesh,2017-01-01,0.1898159672999371
Arunanchal Pradesh,2018-01-01,0.19451960425328707
Arunanchal Pradesh,2019-01-01,0.1995987085377419
Arunanchal Pradesh,2020-01-01,0.2052141284815262
Assam,2000-01-01,3.273185949782906
Assam,2001-01-01,3.3258687265074207
Assam,2002-01-01,3.382232036498393
Assam,2003-01-01,3.436915282021762
Assam,2004-01-01,3.4937509666045363
Assam,2005-01-01,3.549341102579368
Assam,2006-01-01,3.6057695361372644
Assam,2007-01-01,3.66745426363245
Assam,2008-01-01,3.7254919841831833
Assam,2009-01-01,3.784858916067662
Assam,2010-01-01,3.845313669983494
Assam,2011-01-01,3.9053106205982497
Assam,2012-01-01,3.9643816671826375
Assam,2013-01-01,4.0261753503276125
Assam,2014-01-01,4.093554674681729
Assam,2015-01-01,4.162321900396663
Assam,2016-01-01,4.2301111067457535
Assam,2017-01-01,4.295772136720528
Assam,2018-01-01,4.370336127258729
Assam,2019-01-01,4.441782934275931
Assam,2020-01-01,4.512402128654925
Bihar,2000-01-01,7.430782611650205
Bihar,2001-01-01,7.601503740970289
Bihar,2002-01-01,7.77394769000373
Bihar,2003-01-01,7.946590347751314
Bihar,2004-01-01,8.13076139572221
Bihar,2005-01-01,8.312277320359378
Bihar,2006-01-01,8.499629268237173
Bihar,2007-01-01,8.693859551478642
Bihar,2008-01-01,8.888313767731741
Bihar,2009-01-01,9.090178097543951
Bihar,2010-01-01,9.295859819231946
Bihar,2011-01-01,9.505854525072463
Bihar,2012-01-01,9.718164728482195
Bihar,2013-01-01,9.939378202307427
Bihar,2014-01-01,10.164730522379449
Bihar,2015-01-01,10.399893262110744
Bihar,2016-01-01,10.640424059671833
Bihar,2017-01-01,10.88424657159007
Bihar,2018-01-01,11.129436601657346
Bihar,2019-01-01,11.383098218181342
Bihar,2020-01-01,11.644051113569212
Chandigarh,2000-01-01,42.818676338922785
Chandigarh,2001-01-01,43.24194092411575
Chandigarh,2002-01-01,43.86095232190856
Chandigarh,2003-01-01,44.64167455221053
Chandigarh,2004-01-01,44.880824660017204
Chandigarh,2005-01-01,45.715086995633456
Chandigarh,2006-01-01,46.49065701118613
Chandigarh,2007-01-01,46.89932177147213
Chandigarh,2008-01-01,47.7622571516651
Chandigarh,2009-01-01,48.3669582707649
Chandigarh,2010-01-01,49.144977988622465
Chandigarh,2011-01-01,50.02413813076669
Chandigarh,2012-01-01,51.41526598063704
Chandigarh,2013-01-01,52.24295304218853
Chandigarh,2014-01-01,53.248535995301076
Chandigarh,2015-01-01,54.08366898727607
Chandigarh,2016-01-01,54.35616997065456
Chandigarh,2017-01-01,55.27714459661989
Chandigarh,2018-01-01,56.08158274458614
Chandigarh,2019-01-01,57.193697692900855
Chandigarh,2020-01-01,57.78970407769498
Chhattisgarh,2000-01-01,1.2480636887003103
Chhattisgarh,2001-01-01,1.2711220209774285
Chhattisgarh,2002-01-01,1.2943860013854134
Chhattisgarh,2003-01-01,1.318267570991884
Chhattisgarh,2004-01-01,1.3420486698805238
Chhattisgarh,2005-01-01,1.3672807905992665
Chhattisgarh,2006-01-01,1.3923607384069736
Chhattisgarh,2007-01-01,1.4178863186288964
Chhattisgarh,2008-01-01,1.4446466500105979
Chhattisgarh,2009-01-01,1.4715689450694032
Chhattisgarh,2010-01-01,1.499455970965883
Chhattisgarh,2011-01-01,1.5272524806335117
Chhattisgarh,2012-01-01,1.5563963142969641
Chhattisgarh,2013-01-01,1.5850844364437693
Chhattisgarh,2014-01-01,1.6153235601324303
Chhattisgarh,2015-01-01,1.6456571327713196
Chhattisgarh,2016-01-01,1.676686500662714
Chhattisgarh,2017-01-01,1.7081117407164603
Chhattisgarh,2018-01-01,1.7407229865873528
Chhattisgarh,2019-01-01,1.7737186797528173
Chhattisgarh,2020-01-01,1.8069399135251945
Dadara & Nagar Havelli,2000-01-01,4.2199682833082415
Dadara & Nagar Havelli,2001-01-01,4.453163775088831
Dadara & Nagar Havelli,2002-01-01,4.668676936407415
Dadara & Nagar Havelli,2003-01-01,4.85153321698739
Dadara & Nagar Havelli,2004-01-01,5.227410898143232
Dadara & Nagar Havelli,2005-01-01,5.422845974484464
Dadara & Nagar Havelli,2006-01-01,5.730461899321041
Dadara & Nagar Havelli,2007-01-01,6.00779351773849
Dadara & Nagar Havelli,2008-01-01,6.256445371638501
Dadara & Nagar Havelli,2009-01-01,6.484181040666792
Dadara & Nagar Havelli,2010-01-01,6.659041516671838
Dadara & Nagar Havelli,2011-01-01,7.075874357628888
Dadara & Nagar Havelli,2012-01-01,7.218726719433154
Dadara & Nagar Havelli,2013-01-01,7.724387658128263
Dadara & Nagar Havelli,2014-01-01,7.903554803115014
Dadara & Nagar Havelli,2015-01-01,8.426956558578766
Dadara & Nagar Havelli,2016-01-01,8.782727101447243
Dadara & Nagar Havelli,2017-01-01,9.133892099897594
Dadara & Nagar Havelli,2018-01-01,9.492323619549184
Dadara & Nagar Havelli,2019-01-01,9.909084451163752
Dadara & Nagar Havelli,2020-01-01,10.22741956884648
Daman & Diu,2000-01-01,10.74866462050844
Daman & Diu,2001-01-01,11.20596536092092
Daman & Diu,2002-01-01,11.534645173547357
Daman & Diu,2003-01-01,12.252661132685835
Daman & Diu,2004-01-01,12.64134393537641
Daman & Diu,2005-01-01,13.364840327390816
Daman & Diu,2006-01-01,13.611765287999546
Daman & Diu,2007-01-01,13.844680766384199
Daman & Diu,2008-01-01,14.523256382852187
Daman & Diu,2009-01-01,15.232712083816242
Daman & Diu,2010-01-01,15.44190941474395
Daman & Diu,2011-01-01,16.071806645343752
Daman & Diu,2012-01-01,16.87032100017794
Daman & Diu,2013-01-01,17.656389064495798
Daman & Diu,2014-01-01,18.26017853210737
Daman & Diu,2015-01-01,19.08533359511558
Daman & Diu,2016-01-01,19.89822898565005
Daman & Diu,2017-01-01,20.581573847607874
Daman & Diu,2018-01-01,21.4518699665539
Daman & Diu,2019-01-01,22.232516582748822
Daman & Diu,2020-01-01,23.297009609997453
Goa,2000-01-01,3.1735669796940216
Goa,2001-01-01,3.1995183030584182
Goa,2002-01-01,3.223905863866117
Goa,2003-01-01,3.250849701334075
Goa,2004-01-01,3.276172216156013
Goa,2005-01-01,3.303846841956162
Goa,2006-01-01,3.330117536006628
Goa,2007-01-01,3.3600480246525386
Goa,2008-01-01,3.386321978595841
Goa,2009-01-01,3.4114615670680757
Goa,2010-01-01,3.434798803410435
Goa,2011-01-01,3.465224905706286
Goa,2012-01-01,3.4922722821881003
Goa,2013-01-01,3.5192767523753004
Goa,2014-01-01,3.548425096684043
Goa,2015-01-01,3.5841891910712915
Goa,2016-01-01,3.6192098137954654
Goa,2017-01-01,3.648224642162622
Goa,2018-01-01,3.6735128605601455
Goa,2019-01-01,3.7012674590880437
Goa,2020-01-01,3.7343822839404375
